Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Commander;9016700;UBO;1936;1936;1936;1936;3;7;0;2;0;5;2;unknown;1936;1999;x
Commander;9016701;UBO;1936;1936;1936;1936;3;7;0;1;0;5;1;unknown;1936;1999;x
Commander;9016702;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;9016703;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016704;UBO;1936;1936;1936;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016705;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016706;UBO;1936;1936;1990;1990;3;7;0;0;0;5;2;unknown;1936;1999;x
Commander;9016707;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016708;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016709;UBO;1936;1990;1990;1990;3;7;0;2;0;5;1;unknown;1936;1999;x
Commander;9016710;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016711;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016712;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016713;UBO;1936;1990;1990;1990;3;7;0;2;0;5;0;unknown;1936;1999;x
Commander;9016714;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;9016715;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016716;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016717;UBO;1936;1936;1936;1936;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016718;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016719;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016720;UBO;1936;1990;1990;1990;3;7;0;1;0;5;1;unknown;1936;1999;x
Commander;9016721;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016722;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016723;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016724;UBO;1936;1936;1936;1990;3;7;0;0;0;5;2;unknown;1936;1999;x
Commander;9016725;UBO;1936;1936;1936;1990;3;7;0;2;0;5;1;unknown;1936;1999;x
Commander;9016726;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016727;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016728;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016729;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016730;UBO;1936;1990;1990;1990;3;7;0;2;0;5;1;unknown;1936;1999;x
Commander;9016731;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016732;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;9016733;UBO;1936;1936;1936;1936;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016734;UBO;1936;1936;1936;1936;3;7;0;1;0;5;1;unknown;1936;1999;x
Commander;9016735;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016736;UBO;1936;1936;1936;1990;3;7;0;2;0;5;0;unknown;1936;1999;x
Commander;9016737;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016738;UBO;1936;1936;1936;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016739;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;9016740;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016741;UBO;1936;1936;1990;1990;3;7;0;1;0;5;2;unknown;1936;1999;x
Commander;9016742;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016743;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016744;UBO;1936;1936;1936;1990;3;7;0;1;0;5;1;unknown;1936;1999;x
Commander;9016745;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016746;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016747;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016748;UBO;1936;1990;1990;1990;3;7;0;2;0;5;0;unknown;1936;1999;x
Commander;9016749;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;9016750;UBO;1936;1936;1936;1936;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016751;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;9016752;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;9016753;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
