Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Commander;6700;URO;1936;1936;1936;1936;3;7;0;2;0;5;2;unknown;1936;1999;x
Commander;6701;URO;1936;1936;1936;1936;3;7;0;1;0;5;1;unknown;1936;1999;x
Commander;6702;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;6703;URO;1936;1936;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;6704;URO;1936;1936;1936;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;6705;URO;1936;1936;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;6706;URO;1936;1936;1990;1990;3;7;0;0;0;5;2;unknown;1936;1999;x
Commander;6707;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;6708;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;6709;URO;1936;1990;1990;1990;3;7;0;2;0;5;1;unknown;1936;1999;x
Commander;6710;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;6711;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;6712;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;6713;URO;1936;1990;1990;1990;3;7;0;2;0;5;0;unknown;1936;1999;x
Commander;6714;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;6715;URO;1936;1936;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;6716;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;6717;URO;1936;1936;1936;1936;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;6718;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
