Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Commander;31700;UTL;1936;1936;1936;1936;3;7;0;2;0;5;2;unknown;1936;1999;x
Commander;31701;UTL;1936;1936;1936;1936;3;7;0;1;0;5;1;unknown;1936;1999;x
Commander;31702;UTL;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;31703;UTL;1936;1936;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;31704;UTL;1936;1936;1936;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;31705;UTL;1936;1936;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31706;UTL;1936;1936;1990;1990;3;7;0;0;0;5;2;unknown;1936;1999;x
Commander;31707;UTL;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;31708;UTL;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31709;UTL;1936;1990;1990;1990;3;7;0;2;0;5;1;unknown;1936;1999;x
Commander;31710;UTL;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;31711;UTL;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31712;UTL;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;31713;UTL;1936;1990;1990;1990;3;7;0;2;0;5;0;unknown;1936;1999;x
Commander;31714;UTL;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;31715;UTL;1936;1936;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;31716;UTL;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31717;UTL;1936;1936;1936;1936;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;31718;UTL;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31719;UTL;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31720;UTL;1936;1990;1990;1990;3;7;0;1;0;5;1;unknown;1936;1999;x
Commander;31721;UTL;1936;1936;1936;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31722;UTL;1936;1936;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31723;UTL;1936;1936;1936;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31724;UTL;1936;1936;1936;1990;3;7;0;0;0;5;2;unknown;1936;1999;x
Commander;31725;UTL;1936;1936;1936;1990;3;7;0;2;0;5;1;unknown;1936;1999;x
Commander;31726;UTL;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;31727;UTL;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31728;UTL;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31729;UTL;1936;1990;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;31730;UTL;1936;1990;1990;1990;3;7;0;2;0;5;1;unknown;1936;1999;x
Commander;31731;UTL;1936;1936;1990;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;31732;UTL;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;31733;UTL;1936;1936;1936;1936;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31734;UTL;1936;1936;1936;1936;3;7;0;1;0;5;1;unknown;1936;1999;x
Commander;31735;UTL;1936;1936;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31736;UTL;1936;1936;1936;1990;3;7;0;2;0;5;0;unknown;1936;1999;x
Commander;31737;UTL;1936;1936;1936;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31738;UTL;1936;1936;1936;1990;3;7;0;1;0;5;0;unknown;1936;1999;x
Commander;31739;UTL;1936;1936;1990;1990;3;7;0;0;0;5;1;unknown;1936;1999;x
Commander;31740;UTL;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31741;UTL;1936;1936;1990;1990;3;7;0;1;0;5;2;unknown;1936;1999;x
Commander;31742;UTL;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31743;UTL;1936;1990;1990;1990;3;7;0;0;0;5;0;unknown;1936;1999;x
Commander;31744;UTL;1936;1936;1936;1990;3;7;0;1;0;5;1;unknown;1936;1999;x
