Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Akbar Khan;155001;AFG;1930;1939;1990;1990;3;4;1;1;0;3;0;L280000;1930;1941;1999;x
Bardolucci;155002;AFG;1930;1990;1990;1990;3;4;4;0;0;5;0;L280001;1930;1940;1999;x
Daoud;155003;AFG;1939;1941;1945;1990;2;5;2;3;0;5;0;L280002;1939;1960;1999;x
Etemadi Khan;155004;AFG;1945;1990;1990;1990;3;3;16;0;0;5;0;L280003;1945;1960;1999;x
Ghani Khan;155005;AFG;1942;1944;1947;1990;2;4;1;2;0;5;0;L280004;1942;1960;1999;x
Gholam Wali;155006;AFG;1942;1990;1990;1990;3;4;256;0;0;5;0;L280005;1942;1960;1999;x
Ghozham Khan;155007;AFG;1930;1937;1990;1990;2;3;514;2;0;2;0;L280006;1930;1939;1999;x
Hashim Khan;155008;AFG;1930;1937;1943;1990;2;4;2;3;0;5;0;L280007;1930;1960;1999;x
Husain;155009;AFG;1944;1947;1990;1990;3;4;4;1;0;5;0;L280008;1944;1960;1999;x
Mazharam Khan;155010;AFG;1945;1990;1990;1990;3;4;16;0;0;3;0;L280009;1945;1960;1999;x
Seraj Khan;155011;AFG;1938;1943;1946;1990;2;4;16;2;0;5;0;L280010;1938;1960;1999;x
Sergente;155012;AFG;1930;1990;1990;1990;3;5;128;0;0;5;0;L280011;1930;1940;1999;x
Shah Ghazi;155013;AFG;1930;1930;1930;1940;1;3;0;2;0;5;0;L280012;1930;1945;1999;x
Suleiman Khan;155014;AFG;1930;1930;1990;1990;2;4;16;0;0;5;0;L280013;1930;1942;1999;x
Tarzi Khan;155015;AFG;1943;1947;1990;1990;3;3;16;1;0;5;0;L280014;1943;1960;1999;x
Wali Khan;155016;AFG;1930;1930;1938;1990;1;3;64;1;0;5;0;L280015;1930;1960;1999;x
Yunus Khan;155017;AFG;1930;1930;1990;1990;2;4;17;1;0;5;0;L280016;1930;1940;1999;x
Zahir;155018;AFG;1930;1930;1939;1944;1;4;0;2;0;5;0;L280017;1930;1960;1999;x
Husain;155019;AFG;1944;1947;1990;1990;3;2;0;1;0;5;1;L280018;1944;1960;1999;x
Wali Khan;155020;AFG;1930;1930;1990;1990;2;2;512;1;0;5;1;L280019;1930;1960;1999;x
Zahir;155021;AFG;1930;1930;1939;1944;1;2;0;2;0;5;1;L280020;1930;1960;1999;x
Daoud;155022;AFG;1939;1941;1945;1990;2;2;0;2;0;5;2;L280021;1939;1960;1999;x
Federico;155023;AFG;1930;1990;1990;1990;3;4;0;0;0;4;2;L280022;1930;1940;1999;x
Schenck;155024;AFG;1930;1990;1990;1990;3;4;16384;1;0;5;2;L280023;1930;1941;1999;x
Serafini;155025;AFG;1930;1990;1990;1990;3;5;4096;0;0;5;2;L280024;1930;1940;1999;x
Zahir;155026;AFG;1930;1930;1939;1944;1;3;0;2;0;5;2;L280025;1930;1960;1999;x
Nadir Khan;155027;AFG;1908;1910;1912;1914;0;5;0;3;0;3;0;1;1908;1932;1999;x
Amanullah Khan;155028;AFG;1914;1915;1916;1919;0;4;0;2;0;3;0;2;1914;1932;1999;x
Ghulam Nabi;155029;AFG;1908;1912;1914;1932;1;3;0;1;0;3;0;unknownleader;1908;1932;1999;x
Ghulam Sidiq;155030;AFG;1908;1912;1914;1932;1;3;0;1;0;3;0;unknownleader;1908;1932;1999;x
Nadir Shah Mohamad;155031;AFG;1908;1912;1914;1932;1;4;0;2;0;3;0;7975;1908;1932;1999;x
Mahmud Sami;155032;AFG;1908;1912;1914;1932;1;4;0;2;0;3;0;7976;1908;1932;1999;x
Muhammad Umar Khan;155033;AFG;1908;1914;1932;1932;2;4;0;2;0;3;0;unknownleader;1908;1932;1999;x
Abdur Rahim Khan;155034;AFG;1908;1914;1932;1932;2;4;0;2;0;3;0;7977;1908;1932;1999;x
Nek Muhammad Khan;155035;AFG;1908;1914;1932;1932;2;4;0;2;0;3;0;unknownleader;1908;1932;1999;x
Muhammad Iklil Khan;155036;AFG;1908;1914;1932;1932;2;4;0;2;0;3;0;unknownleader;1908;1932;1999;x
Abdul Wakil Nuristani;155037;AFG;1908;1914;1932;1932;2;4;0;2;0;3;0;unknownleader;1908;1932;1999;x
Muhammad Gul Mohmand;155038;AFG;1908;1914;1932;1932;2;4;0;2;0;3;0;7978;1908;1932;1999;x
Sayyid Muhammad Siddiq Khan;155039;AFG;1908;1932;1932;1932;3;4;0;2;0;3;0;unknownleader;1908;1932;1999;x
Abdul Qudus Khan;155040;AFG;1908;1932;1932;1932;3;2;0;0;0;3;2;unknownleader;1908;1932;1999;x
Commander;280900;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280901;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280902;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280903;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280904;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280905;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280906;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280907;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280908;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280909;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280910;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280911;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280912;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280913;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280914;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280915;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280916;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280917;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;280918;AFG;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
