Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bilstein de Menenses;555001;ANG;1930;1930;1990;1990;2;4;544;1;0;5;0;L568000;1930;1960;1999;x
Carvalho;555002;ANG;1930;1940;1990;1990;2;3;0;1;0;5;0;M568032;1930;1960;1999;x
d'Aluz Ribeiro;555003;ANG;1938;1942;1990;1990;2;4;1;1;0;5;0;M568028;1938;1960;1999;x
da Silveira Malheiro;555004;ANG;1938;1944;1990;1990;2;3;128;1;0;5;0;L568003;1938;1960;1999;x
de Freitas Morna;555005;ANG;1942;1990;1990;1990;3;6;272;1;0;5;0;M568003;1942;1960;1999;x
de Morais Sarmento;555006;ANG;1930;1930;1941;1990;1;4;2;1;0;5;0;M568027;1930;1960;1999;x
de Paula Pinheido;555007;ANG;1930;1940;1990;1990;2;4;1;1;0;5;0;M568023;1930;1960;1999;x
Domingues;555008;ANG;1930;1930;1990;1990;2;5;528;1;0;5;0;L568007;1930;1943;1999;x
Fragosa de Carmona;555009;ANG;1930;1930;1930;1930;0;3;514;1;0;5;0;L568008;1930;1945;1999;x
Gomes da Costa;555010;ANG;1930;1942;1990;1990;2;3;0;1;0;5;0;M568019;1930;1960;1999;x
Lopes Alves;555011;ANG;1940;1943;1990;1990;2;4;128;1;0;5;0;M568004;1940;1960;1999;x
Lopes Soares Branco;555012;ANG;1938;1941;1990;1990;2;4;64;1;0;5;0;L568011;1938;1960;1999;x
Macedo é Brito;555013;ANG;1930;1930;1990;1990;2;6;516;1;0;5;0;M568007;1930;1943;1999;x
Perreira de Eca;555014;ANG;1930;1930;1930;1990;1;5;514;1;0;5;0;M568008;1930;1941;1999;x
Placido Duarte;555015;ANG;1930;1939;1990;1990;2;4;2;1;0;5;0;M568025;1930;1960;1999;x
Rodrigues;555016;ANG;1938;1943;1990;1990;2;5;256;1;0;5;0;L568015;1938;1960;1999;x
da Costa Andrade;555017;ANG;1930;1940;1990;1990;2;4;4096;1;0;5;1;M568030;1930;1960;1999;x
de Albuquerque;555018;ANG;1930;1930;1990;1990;2;4;1536;1;0;5;1;M568009;1930;1960;1999;x
Ribeiro;555019;ANG;1930;1930;1990;1990;2;4;2560;1;0;5;1;L568018;1930;1960;1999;x
Carvalho;555020;ANG;1930;1940;1990;1990;2;4;4096;1;0;5;2;M568032;1930;1960;1999;x
d'Aluz Ribeiro;555021;ANG;1938;1942;1990;1990;2;3;0;1;0;5;2;M568028;1938;1960;1999;x
de Freitas Morna;555022;ANG;1942;1990;1990;1990;3;3;0;0;0;5;2;M568003;1942;1960;1999;x
