Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Agong;335001;BRU;1943;1946;1990;1990;2;3;1;1;0;5;0;L567000;1943;1960;1999;x
Down;335002;BRU;1930;1930;1990;1990;2;4;0;0;0;5;0;M567010;1930;1943;1999;x
Enyang;335003;BRU;1941;1990;1990;1990;3;2;0;0;0;5;0;M567015;1941;1945;1999;x
Ghati;335004;BRU;1945;1990;1990;1990;3;3;128;0;0;5;0;L567003;1945;1960;1999;x
Gibb;335005;BRU;1938;1990;1990;1990;3;5;256;1;0;5;0;L567004;1938;1960;1999;x
Henderson;335006;BRU;1930;1930;1930;1990;1;4;4;0;0;5;0;M567008;1930;1942;1999;x
Kamarul;335007;BRU;1943;1946;1990;1990;2;3;1;1;0;5;0;M567014;1943;1960;1999;x
Kattiri;335008;BRU;1930;1930;1930;1990;1;3;513;1;0;5;0;L567007;1930;1941;1999;x
Martanda;335009;BRU;1930;1990;1990;1990;3;2;32;0;0;5;0;M567019;1930;1945;1999;x
Masyhur;335010;BRU;1945;1990;1990;1990;3;3;1;0;0;5;0;M567020;1945;1960;1999;x
Rama Varma VI;335011;BRU;1930;1930;1990;1990;2;2;2;0;0;5;0;M567023;1930;1943;1999;x
Ranjit;335012;BRU;1930;1990;1990;1990;3;3;528;1;0;5;0;M567004;1930;1942;1999;x
Rattak;335013;BRU;1944;1990;1990;1990;3;4;0;0;0;5;0;M567022;1944;1960;1999;x
Razik;335014;BRU;1945;1990;1990;1990;3;3;64;0;0;5;0;M567018;1945;1960;1999;x
Salif;335015;BRU;1930;1942;1944;1990;2;3;128;2;0;5;0;M567007;1930;1960;1999;x
Sumair;335016;BRU;1938;1990;1990;1990;3;4;4;0;0;5;0;L567015;1938;1947;1999;x
Taranagoor;335017;BRU;1930;1990;1990;1990;3;2;2;0;0;5;0;M567021;1930;1945;1999;x
Yakut;335018;BRU;1930;1930;1990;1990;2;2;0;0;0;5;0;M567017;1930;1946;1999;x
Arant;335019;BRU;1930;1939;1990;1990;2;4;1024;1;0;5;1;M567009;1930;1960;1999;x
Dewanagar Singh;335020;BRU;1944;1990;1990;1990;3;3;8192;0;0;5;1;M567026;1944;1960;1999;x
Noodai;335021;BRU;1930;1930;1990;1990;2;2;0;0;0;5;1;M567013;1930;1945;1999;x
Rama Varma VI;335022;BRU;1930;1990;1990;1990;3;2;0;0;0;5;1;M567023;1930;1943;1999;x
Down;335023;BRU;1930;1930;1990;1990;2;3;4096;1;0;5;2;M567010;1930;1943;1999;x
Emck;335024;BRU;1944;1946;1990;1990;3;4;16384;1;0;5;2;M567029;1944;1960;1999;x
Holmes;335025;BRU;1940;1990;1990;1990;3;4;0;1;0;5;2;L567024;1940;1960;1999;x
Oddie;335026;BRU;1940;1943;1990;1990;2;4;131072;1;0;5;2;M567028;1940;1960;1999;x
Taranagoor;335027;BRU;1930;1930;1990;1990;2;2;0;0;0;5;2;M567021;1930;1945;1999;x
Vincent;335028;BRU;1940;1990;1990;1990;3;4;8192;0;0;5;2;L567027;1940;1960;1999;x
Commander;567900;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567901;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567902;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567903;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567904;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567905;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567906;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567907;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567908;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567909;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567910;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567911;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567912;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567913;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567914;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567915;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567916;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567917;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567918;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567919;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567920;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567921;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567922;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567923;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567924;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567925;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567926;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567927;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567928;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567929;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567930;BRU;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;567951;BRU;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;567952;BRU;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;567953;BRU;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;567954;BRU;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;567955;BRU;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;567956;BRU;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;567957;BRU;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;567958;BRU;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;567959;BRU;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;567960;BRU;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;567976;BRU;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;567977;BRU;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;567978;BRU;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;567979;BRU;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;567980;BRU;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;567981;BRU;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;567982;BRU;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;567983;BRU;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;567984;BRU;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;567985;BRU;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
