Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abeille;580001;CAM;1939;1990;1990;1990;3;3;32;0;0;5;0;M534029;1939;1960;1999;x
Bissagnet;580002;CAM;1941;1990;1990;1990;3;3;16;0;0;5;0;M534022;1941;1960;1999;x
Bonnet;580003;CAM;1930;1941;1943;1990;1;5;4;2;0;5;0;M534025;1930;1960;1999;x
Hugo;580004;CAM;1939;1943;1990;1990;2;3;4;1;0;5;0;M534030;1939;1960;1999;x
Maziéras;580005;CAM;1939;1990;1990;1990;3;4;2;0;0;5;0;M534028;1939;1945;1999;x
Motte;580006;CAM;1939;1990;1990;1990;3;3;256;0;0;5;0;M534034;1939;1960;1999;x
Priaux;580007;CAM;1930;1939;1990;1990;2;3;0;1;0;5;0;M534007;1930;1944;1999;x
Ravel-Ecourd;580008;CAM;1930;1930;1990;1990;2;3;1;0;0;5;0;M534008;1930;1943;1999;x
Savary;580009;CAM;1941;1990;1990;1990;3;4;128;0;0;5;0;L534008;1941;1960;1999;x
Cédile;580010;CAM;1930;1942;1990;1990;2;3;4096;1;0;5;1;M534032;1930;1960;1999;x
Hugo;580011;CAM;1939;1943;1990;1990;2;2;2048;1;0;5;1;M534030;1939;1960;1999;x
Ferrant;580012;CAM;1930;1941;1990;1990;3;3;16384;1;0;5;2;M534035;1930;1960;1999;x
Motte;580013;CAM;1939;1990;1990;1990;3;3;0;0;0;5;2;M534034;1939;1960;1999;x
Commander;534900;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534901;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534902;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534903;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534904;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534905;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534906;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534907;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534908;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534909;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534910;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534911;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534912;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534913;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534914;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534915;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534916;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534917;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534918;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534919;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534920;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534921;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534922;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534923;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534924;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534925;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534926;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534927;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534928;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534929;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534930;CAM;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;534951;CAM;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;534952;CAM;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;534953;CAM;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;534954;CAM;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;534955;CAM;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;534956;CAM;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;534957;CAM;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;534958;CAM;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
