Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ariosto Herrera;210001;CHL;1938;1942;1990;1990;2;3;0;1;0;3;0;L140000;1938;1945;1999;x
Ariosto Otarés;210002;CHL;1930;1990;1990;1990;3;3;0;0;0;5;0;L140001;1930;1940;1999;x
Arraya Stiglich;210003;CHL;1939;1942;1990;1990;2;4;4;1;0;5;0;L140002;1939;1960;1999;x
Barrios Tirado;210004;CHL;1938;1990;1990;1990;3;3;128;0;0;5;0;L140003;1938;1944;1999;x
Blanché;210005;CHL;1930;1930;1930;1990;1;4;528;1;0;5;0;L140004;1930;1940;1999;x
Canas Montalva;210006;CHL;1939;1990;1990;1990;3;4;0;0;0;5;0;L140005;1939;1960;1999;x
Castillo Arabquiz;210007;CHL;1941;1990;1990;1990;3;4;0;0;0;5;0;L140006;1941;1960;1999;x
Charpin Rival;210008;CHL;1930;1938;1990;1990;2;4;4;1;0;5;0;L140007;1930;1946;1999;x
Danus Peña;210009;CHL;1939;1943;1990;1990;3;3;256;1;0;5;0;L140008;1939;1960;1999;x
Escudero Otarola;210010;CHL;1930;1930;1990;1990;2;3;1;0;0;5;0;L140009;1930;1945;1999;x
Espinoza Mujica;210011;CHL;1930;1939;1941;1990;1;5;0;2;0;5;0;L140010;1930;1960;1999;x
Fernandez Reyes;210012;CHL;1930;1930;1990;1990;2;4;1;0;0;5;0;L140011;1930;1960;1999;x
Franco Hidalgo;210013;CHL;1938;1990;1990;1990;3;3;1;0;0;5;0;L140012;1938;1946;1999;x
Fuentes Pantoja;210014;CHL;1937;1942;1990;1990;3;4;0;1;0;5;0;L140014;1937;1960;1999;x
Fuentes Rabe;210015;CHL;1930;1930;1930;1990;1;3;0;1;0;5;0;L140015;1930;1941;1999;x
Izurieta Molina;210016;CHL;1942;1990;1990;1990;3;3;256;0;0;5;0;L140016;1942;1960;1999;x
Martinez Pitta;210017;CHL;1939;1941;1944;1990;2;4;2;2;0;5;0;L140017;1939;1960;1999;x
Mezzana;210018;CHL;1930;1990;1990;1990;3;5;32;0;0;5;0;L140018;1930;1944;1999;x
Migueles Caridi;210019;CHL;1938;1943;1990;1990;3;4;128;1;0;5;0;L140019;1938;1946;1999;x
Moreno;210020;CHL;1930;1930;1990;1990;2;3;64;0;0;5;0;L140020;1930;1944;1999;x
Novoa Fuentes;210021;CHL;1930;1930;1930;1930;0;3;0;1;0;5;0;L140021;1930;1942;1999;x
Osuña Marcando;210022;CHL;1943;1946;1990;1990;2;4;0;1;0;3;0;L140022;1943;1960;1999;x
Otero Mujica;210023;CHL;1930;1930;1990;1990;2;3;1;0;0;5;0;L140023;1930;1940;1999;x
Parada Moreno;210024;CHL;1938;1945;1990;1990;3;5;0;1;0;5;0;L140024;1938;1960;1999;x
Pastore Sanchez;210025;CHL;1942;1946;1990;1990;2;3;4;1;0;4;0;L140025;1942;1960;1999;x
Ponce Arellano;210026;CHL;1938;1941;1990;1990;2;3;32;1;0;5;0;L140026;1938;1960;1999;x
Portales Mourgues;210027;CHL;1930;1930;1990;1990;2;4;640;1;0;5;0;L140027;1930;1942;1999;x
Quezada Calvo;210028;CHL;1944;1990;1990;1990;3;3;64;0;0;5;0;L140028;1944;1960;1999;x
Schwarzenberg;210029;CHL;1943;1990;1990;1990;3;4;256;0;0;5;0;L140029;1943;1960;1999;x
Telléz Castro;210030;CHL;1930;1940;1990;1990;2;3;2;1;0;5;0;L140030;1930;1946;1999;x
Urcullu de la Vega;210031;CHL;1938;1942;1945;1990;2;4;0;2;0;5;0;L140031;1938;1960;1999;x
Urrutía;210032;CHL;1930;1930;1990;1990;2;3;0;0;0;5;0;L140032;1930;1945;1999;x
Vidal Merino;210033;CHL;1943;1990;1990;1990;3;3;1;0;0;5;0;L140033;1943;1960;1999;x
Vidal Otero;210034;CHL;1942;1990;1990;1990;3;3;128;0;0;4;0;L140034;1942;1960;1999;x
Vidal Vargas;210035;CHL;1930;1939;1990;1990;2;3;0;1;0;5;0;L140035;1930;1946;1999;x
Vignola Cortes;210036;CHL;1930;1930;1990;1990;2;5;516;1;0;5;0;L140036;1930;1939;1999;x
Allard Pinto;210037;CHL;1930;1939;1943;1990;2;4;0;2;0;5;1;L140037;1930;1946;1999;x
Alvarez Jaramillo;210038;CHL;1941;1945;1990;1990;3;4;0;1;0;5;1;L140038;1941;1960;1999;x
Consiglio Rebora;210039;CHL;1930;1990;1990;1990;3;3;0;0;0;5;1;L140039;1930;1947;1999;x
de la Motte du Portail;210040;CHL;1930;1930;1930;1930;0;4;8704;1;0;5;1;L140040;1930;1940;1999;x
