Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Amin;635001;EAF;1944;1946;1990;1990;2;3;32;1;0;5;0;L550000;1944;1960;1999;x
Bantariza;635002;EAF;1945;1990;1990;1990;3;3;256;0;0;5;0;L550001;1945;1960;1999;x
Bogita;635003;EAF;1940;1945;1990;1990;2;3;128;1;0;5;0;M550042;1940;1960;1999;x
Brooke-Popham;635004;EAF;1930;1930;1930;1990;1;6;513;3;0;5;0;L1051;1930;1942;1999;x
Carver;635005;EAF;1941;1943;1990;1990;2;8;129;1;0;5;0;L1069;1941;1960;1999;x
Chawa;635006;EAF;1930;1990;1990;1990;3;2;0;0;0;5;0;M550044;1930;1943;1999;x
Datawi;635007;EAF;1945;1990;1990;1990;3;2;0;0;0;5;0;M550043;1945;1960;1999;x
Gebre;635008;EAF;1943;1945;1990;1990;2;3;1;1;0;5;0;L550007;1943;1960;1999;x
ibn Kharub;635009;EAF;1930;1930;1930;1930;0;1;0;0;0;5;0;M550011;1930;1960;1999;x
Jumara;635010;EAF;1945;1990;1990;1990;3;2;64;0;0;5;0;M550039;1945;1960;1999;x
Mills;635011;EAF;1941;1990;1990;1990;3;5;257;1;0;5;0;M550040;1941;1960;1999;x
Mitchell;635012;EAF;1930;1930;1945;1990;2;3;1;2;0;5;0;M550001;1930;1960;1999;x
Mutesa;635013;EAF;1938;1990;1990;1990;3;2;0;0;0;5;0;M550038;1938;1960;1999;x
Muzewa;635014;EAF;1945;1990;1990;1990;3;2;0;0;0;5;0;L550013;1945;1960;1999;x
Nicholson;635015;EAF;1942;1990;1990;1990;3;5;16;0;0;5;0;L550014;1942;1960;1999;x
Ohidja;635016;EAF;1945;1990;1990;1990;3;2;0;0;0;5;0;L550015;1945;1960;1999;x
Okello;635017;EAF;1945;1990;1990;1990;3;2;64;0;0;5;0;L550016;1945;1960;1999;x
Opande;635018;EAF;1945;1990;1990;1990;3;2;4;0;0;5;0;L550017;1945;1960;1999;x
Pierson;635019;EAF;1939;1942;1990;1990;2;4;4;1;0;5;0;M550037;1940;1960;1999;x
Pilling;635020;EAF;1940;1940;1945;1990;1;3;2;1;0;5;0;M550018;1940;1960;1999;x
Stevenson;635021;EAF;1930;1930;1990;1990;2;3;514;1;0;5;0;M550007;1930;1940;1999;x
Battershill;635022;EAF;1930;1939;1941;1990;1;4;4096;2;0;5;1;M550009;1930;1960;1999;x
Chawa;635023;EAF;1930;1990;1990;1990;3;1;2048;0;0;5;1;M550044;1930;1943;1999;x
