Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Appert;640001;EQA;1930;1939;1990;1990;2;3;1;1;0;5;0;M535018;1930;1960;1999;x
Bokassa;640002;EQA;1943;1946;1990;1990;2;2;1;1;0;5;0;M535017;1943;1960;1999;x
Bouchinet-Serreulles;640003;EQA;1941;1990;1990;1990;3;4;16;1;0;5;0;L535002;1941;1960;1999;x
Brunet de Sarigne;640004;EQA;1937;1942;1990;1990;2;5;256;1;0;5;0;L535003;1937;1960;1999;x
Kobaya;640005;EQA;1945;1990;1990;1990;3;2;32;0;0;5;0;L535004;1945;1960;1999;x
Kosseyo;640006;EQA;1930;1990;1990;1990;3;2;2;0;0;5;0;M535026;1930;1960;1999;x
Langlois de Bazillac;640007;EQA;1940;1990;1990;1990;3;3;2;0;0;5;0;L535006;1940;1960;1999;x
Magendie;640008;EQA;1939;1943;1990;1990;2;3;4;1;0;5;0;M535024;1939;1960;1999;x
Mangard;640009;EQA;1945;1990;1990;1990;3;2;256;0;0;5;0;M535028;1945;1960;1999;x
Pruvost;640010;EQA;1942;1990;1990;1990;3;3;32;0;0;5;0;M535029;1942;1960;1999;x
Saint-Mart;640011;EQA;1930;1939;1942;1990;1;3;64;2;0;5;0;M535007;1930;1960;1999;x
Sautot;640012;EQA;1930;1942;1990;1990;2;2;256;1;0;5;0;M535009;1930;1960;1999;x
Mangard;640013;EQA;1945;1990;1990;1990;3;1;0;0;0;5;1;M535028;1945;1960;1999;x
Sautot;640014;EQA;1930;1942;1990;1990;2;3;4096;1;0;5;1;M535009;1930;1960;1999;x
Schaerrer;640015;EQA;1930;1990;1990;1990;3;3;1024;0;0;5;1;L535014;1930;1942;1999;x
Bagindre;640016;EQA;1944;1990;1990;1990;3;2;0;0;0;5;2;M535030;1944;1960;1999;x
Denis;640017;EQA;1930;1941;1990;1990;2;3;4096;1;0;5;2;M535010;1930;1960;1999;x
Lafont;640018;EQA;1942;1990;1990;1990;3;3;0;0;0;5;2;L535017;1942;1960;1999;x
