Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Acheampong;660001;GLD;1943;1945;1990;1990;2;2;2;1;0;5;0;M551032;1943;1960;1999;x
Afrifa;660002;GLD;1945;1990;1990;1990;3;2;128;0;0;5;0;L551001;1945;1960;1999;x
Akuffo;660003;GLD;1944;1946;1990;1990;2;3;32;1;0;5;0;L551002;1944;1960;1999;x
Ankrah;660004;GLD;1944;1990;1990;1990;3;2;16;0;0;5;0;L551003;1944;1960;1999;x
Arden-Clarke;660005;GLD;1930;1930;1941;1990;1;4;0;0;0;5;0;M551008;1930;1960;1999;x
Bradshaw;660006;GLD;1942;1990;1990;1990;3;4;0;0;0;5;0;L1046;1942;1946;1999;x
Butler;660007;GLD;1930;1942;1990;1990;2;5;5;1;0;5;0;M551006;1930;1960;1999;x
Dolphin;660008;GLD;1930;1990;1990;1990;3;2;256;0;0;5;0;M551017;1930;1942;1999;x
Hartley;660009;GLD;1944;1990;1990;1990;3;2;0;0;0;5;0;M551025;1945;1960;1999;x
Hayman-Joyce;660010;GLD;1941;1990;1990;1990;3;4;0;1;0;5;0;L1157;1941;1947;1999;x
Mazibuko;660011;GLD;1945;1990;1990;1990;3;2;0;0;0;5;0;L551010;1945;1960;1999;x
Ocran;660012;GLD;1945;1990;1990;1990;3;2;64;0;0;5;0;M551031;1945;1960;1999;x
Smyth;660013;GLD;1937;1990;1990;1990;3;4;513;1;0;5;0;L1282;1937;1945;1999;x
Warren;660014;GLD;1937;1942;1990;1990;2;5;2;1;0;5;0;L1309;1937;1945;1999;x
Amedume;660015;GLD;1940;1945;1990;1990;2;3;4096;1;0;5;1;M551037;1940;1960;1999;x
Dolphin;660016;GLD;1930;1990;1990;1990;3;2;0;0;0;5;1;M551017;1930;1942;1999;x
