Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Augustis;670001;GUY;1930;1940;1942;1990;1;5;128;2;0;5;0;M562008;1930;1960;1999;x
Barrister;670002;GUY;1942;1990;1990;1990;3;4;32;0;0;5;0;L562001;1942;1960;1999;x
Birchwood;670003;GUY;1930;1930;1990;1990;2;4;2;1;0;5;0;M562007;1930;1960;1999;x
Carpenter;670004;GUY;1941;1990;1990;1990;3;3;0;0;0;5;0;L562003;1941;1960;1999;x
Drew;670005;GUY;1930;1939;1990;1990;2;4;513;2;0;5;0;L1111;1930;1960;1999;x
Forrester;670006;GUY;1938;1941;1990;1990;2;4;1;1;0;5;0;M562025;1938;1960;1999;x
Hilton-Green;670007;GUY;1930;1940;1990;1990;3;4;4;1;0;5;0;L1164;1930;1960;1999;x
Letford;670008;GUY;1941;1990;1990;1990;3;4;256;0;0;5;0;L562007;1941;1960;1999;x
Lobban;670009;GUY;1939;1943;1990;1990;2;3;1;1;0;5;0;M562027;1939;1960;1999;x
Williams;670010;GUY;1942;1990;1990;1990;3;3;64;0;0;5;0;L562009;1942;1960;1999;x
Wooten;670011;GUY;1941;1990;1990;1990;3;2;0;0;0;5;0;L562010;1941;1960;1999;x
Bigelow;670012;GUY;1930;1940;1990;1990;2;5;1024;1;0;5;1;M562009;1930;1960;1999;x
Ferguson;670013;GUY;1939;1990;1990;1990;3;4;4096;0;0;5;1;L562012;1939;1960;1999;x
Lobban;670014;GUY;1939;1943;1990;1990;2;3;0;1;0;5;1;M562027;1939;1960;1999;x
McMurphy;670015;GUY;1940;1990;1990;1990;3;3;2048;0;0;5;1;L562014;1940;1960;1999;x
Baxter;670016;GUY;1939;1990;1990;1990;3;3;65536;0;0;5;2;L562015;1939;1960;1999;x
Burnette;670017;GUY;1930;1940;1990;1990;2;4;131072;1;0;5;2;M562010;1930;1960;1999;x
LeGault;670018;GUY;1940;1990;1990;1990;3;4;0;0;0;5;2;L562017;1940;1960;1999;x
Letford;670019;GUY;1941;1990;1990;1990;3;3;0;0;0;5;2;L562007;1941;1960;1999;x
Lightfoot;670020;GUY;1930;1941;1990;1990;3;3;4096;1;0;5;2;M562031;1930;1960;1999;x
Commander;562900;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562901;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562902;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562903;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562904;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562905;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562906;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562907;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562908;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562909;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562910;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562911;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562912;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562913;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562914;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562915;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562916;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562917;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562918;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;562919;GUY;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
