Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abzalgul;485001;KAZ;1930;1930;1990;1990;2;4;521;1;0;5;0;L520000;1930;1960;1999;x
Aneshan;485002;KAZ;1930;1942;1990;1990;2;3;2;1;0;5;0;M520028;1930;1960;1999;x
Bigeldinov;485003;KAZ;1930;1930;1930;1990;1;4;16;2;0;5;0;M520008;1930;1960;1999;x
Bohnstedt;485004;KAZ;1930;1990;1990;1990;3;3;514;1;0;5;0;L520003;1930;1960;1999;x
Bukaiklianov;485005;KAZ;1930;1930;1930;1990;1;3;1;1;0;5;0;M520012;1930;1960;1999;x
Dutov;485006;KAZ;1930;1930;1990;1990;2;4;16;1;0;5;0;M520014;1930;1960;1999;x
Gemp;485007;KAZ;1930;1990;1990;1990;3;4;576;1;0;5;0;L520006;1930;1960;1999;x
Mametova;485008;KAZ;1930;1990;1990;1990;3;6;9;0;0;5;0;L520007;1930;1960;1999;x
Sakhno;485009;KAZ;1930;1930;1990;1990;2;3;8;1;0;5;0;L520008;1930;1960;1999;x
Salminov;485010;KAZ;1930;1930;1941;1990;1;4;0;2;0;5;0;L520009;1930;1960;1999;x
Samarskiy;485011;KAZ;1930;1943;1990;1990;3;3;256;1;0;5;0;M520034;1930;1960;1999;x
Sarkisyan;485012;KAZ;1930;1990;1990;1990;3;5;256;0;0;5;0;M520035;1930;1960;1999;x
Semenchenko;485013;KAZ;1930;1930;1990;1990;2;3;128;1;0;5;0;L520012;1930;1960;1999;x
Sidorovich;485014;KAZ;1930;1990;1990;1990;3;2;0;0;0;5;0;L520013;1930;1960;1999;x
Sinenko;485015;KAZ;1930;1930;1990;1990;2;2;0;1;0;5;0;L520014;1930;1960;1999;x
Skvortsov;485016;KAZ;1930;1990;1990;1990;3;3;64;0;0;5;0;L520015;1930;1960;1999;x
Sokolov;485017;KAZ;1930;1930;1990;1990;2;2;0;1;0;5;0;L520016;1930;1960;1999;x
Solomatin;485018;KAZ;1930;1990;1990;1990;3;3;128;0;0;5;0;L520017;1930;1960;1999;x
Solyankin;485019;KAZ;1930;1990;1990;1990;3;2;0;0;0;5;0;L520018;1930;1960;1999;x
Starkov;485020;KAZ;1930;1940;1990;1990;2;4;128;1;0;5;0;M520031;1930;1960;1999;x
Starokoshko;485021;KAZ;1930;1990;1990;1990;3;2;8;0;0;5;0;L520020;1930;1960;1999;x
Starostin;485022;KAZ;1930;1930;1990;1990;2;4;2;1;0;5;0;M520032;1930;1960;1999;x
Studnev;485023;KAZ;1930;1990;1990;1990;3;2;0;0;0;5;0;L520022;1930;1960;1999;x
Suchkov;485024;KAZ;1930;1990;1990;1990;3;3;256;0;0;5;0;M520029;1930;1960;1999;x
Susaikov;485025;KAZ;1930;1930;1990;1990;2;2;1;1;0;5;0;M520007;1930;1960;1999;x
Talkaher;485026;KAZ;1930;1930;1990;1990;2;3;513;1;0;5;0;L520025;1930;1960;1999;x
von Enckevort;485027;KAZ;1930;1990;1990;1990;3;3;514;1;0;5;0;L520026;1930;1960;1999;x
von Flotow;485028;KAZ;1930;1990;1990;1990;3;3;0;0;0;5;0;L520027;1930;1960;1999;x
von Hösslin;485029;KAZ;1930;1990;1990;1990;3;3;32;0;0;5;0;L520028;1930;1960;1999;x
Gulimbayzyl;485030;KAZ;1930;1930;1930;1990;1;2;1536;1;0;5;1;M520036;1930;1960;1999;x
Samarskiy;485031;KAZ;1930;1990;1990;1990;3;3;0;0;0;5;1;M520034;1930;1960;1999;x
Sarkisyan;485032;KAZ;1930;1990;1990;1990;3;2;0;0;0;5;1;M520035;1930;1960;1999;x
Sergeev;485033;KAZ;1930;1930;1930;1990;1;3;4096;1;0;5;1;M520009;1930;1960;1999;x
Arsen;485034;KAZ;1930;1990;1990;1990;3;3;0;0;0;5;2;M520010;1930;1960;1999;x
Becker;485035;KAZ;1930;1939;1990;1990;2;3;131072;1;0;5;2;L520034;1930;1960;1999;x
Gulimbayzyl;485036;KAZ;1930;1930;1930;1990;1;1;131584;0;0;5;2;M520036;1930;1960;1999;x
Sarkisyan;485037;KAZ;1930;1990;1990;1990;3;2;0;0;0;5;2;M520035;1930;1960;1999;x
Skvortsov;485038;KAZ;1930;1990;1990;1990;3;3;4096;0;0;5;2;M520038;1930;1960;1999;x
von Tippelskirch;485039;KAZ;1930;1990;1990;1990;3;3;0;1;0;5;2;L520038;1930;1960;1999;x
Wilk;485040;KAZ;1930;1940;1990;1990;3;3;0;1;0;5;2;L520039;1930;1960;1999;x
Commander;520900;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520901;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520902;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520903;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520904;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520905;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520906;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520907;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520908;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520909;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520910;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520911;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520912;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520913;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520914;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520915;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520916;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520917;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520918;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520919;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520920;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520921;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520922;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520923;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520924;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520925;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520926;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520927;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520928;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520929;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520930;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;520951;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;520952;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;520953;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;520954;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;520955;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;520956;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;520957;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;520958;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;520959;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;520960;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;520976;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;520977;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;520978;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;520979;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;520980;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;520981;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;520982;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;520983;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;520984;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;520985;KAZ;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
