Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bala;680001;KUR;1930;1939;1990;1990;2;3;8;1;0;5;0;M548025;1930;1960;1999;x
Baltzer;680002;KUR;1940;1990;1990;1990;3;3;2;0;0;5;0;L548001;1940;1960;1999;x
Barzani;680003;KUR;1939;1942;1946;1990;1;6;16;3;0;5;0;M548028;1939;1960;1999;x
Biermann;680004;KUR;1940;1990;1990;1990;3;4;4;0;0;5;0;L548003;1940;1946;1999;x
Demirkol;680005;KUR;1930;1930;1941;1990;2;3;0;2;0;5;0;M548007;1930;1960;1999;x
Drees;680006;KUR;1939;1990;1990;1990;3;3;0;0;0;5;0;L548005;1939;1960;1999;x
Eberts;680007;KUR;1939;1990;1990;1990;3;4;4;0;0;5;0;L548006;1939;1946;1999;x
Eichstädt;680008;KUR;1940;1990;1990;1990;3;4;128;0;0;5;0;L548007;1940;1960;1999;x
Fischer;680009;KUR;1940;1990;1990;1990;3;3;32;0;0;5;0;L548008;1940;1960;1999;x
Geznen;680010;KUR;1930;1943;1990;1990;2;3;128;1;0;5;0;L548009;1930;1960;1999;x
Haktanir;680011;KUR;1937;1990;1990;1990;3;3;1;0;0;5;0;L548010;1937;1960;1999;x
Hausser;680012;KUR;1939;1990;1990;1990;3;4;544;1;0;5;0;L548011;1939;1945;1999;x
Jahanpur;680013;KUR;1938;1990;1990;1990;3;2;0;0;0;5;0;L548012;1938;1944;1999;x
Kriegbaum;680014;KUR;1939;1990;1990;1990;3;3;64;0;0;5;0;L548013;1939;1960;1999;x
Lukhman;680015;KUR;1943;1946;1990;1990;2;4;17;1;0;5;0;M548024;1943;1960;1999;x
Maslum;680016;KUR;1945;1990;1990;1990;3;2;256;0;0;5;0;L548015;1945;1960;1999;x
Öcalan;680017;KUR;1930;1930;1930;1990;1;3;1;1;0;5;0;M548008;1930;1946;1999;x
Pakravan;680018;KUR;1939;1990;1990;1990;3;2;1;0;0;5;0;L548017;1939;1960;1999;x
Roohizadegan;680019;KUR;1930;1930;1990;1990;2;3;64;1;0;5;0;M548026;1930;1960;1999;x
Söldner;680020;KUR;1941;1990;1990;1990;3;4;256;0;0;5;0;L548019;1941;1960;1999;x
Tanju;680021;KUR;1930;1940;1990;1990;3;2;2;1;0;5;0;M548027;1930;1960;1999;x
von Bismarck;680022;KUR;1930;1990;1990;1990;3;4;513;1;0;5;0;L548021;1930;1945;1999;x
von Dewitz zu Krebs;680023;KUR;1939;1990;1990;1990;3;4;256;0;0;5;0;L548022;1939;1960;1999;x
Aqiqat;680024;KUR;1930;1990;1990;1990;3;2;1024;0;0;5;1;M548029;1930;1960;1999;x
Inanc;680025;KUR;1938;1990;1990;1990;3;2;8192;0;0;5;1;L548024;1938;1960;1999;x
Killic;680026;KUR;1930;1990;1990;1990;3;2;0;0;0;5;1;M548030;1930;1945;1999;x
Wenninger;680027;KUR;1930;1930;1940;1990;1;2;0;1;0;5;1;L548026;1930;1945;1999;x
Zafavi;680028;KUR;1930;1941;1990;1990;2;3;2048;1;0;5;1;M548009;1930;1960;1999;x
Danckelmann;680029;KUR;1938;1939;1941;1990;1;4;0;3;0;5;2;L548028;1938;1947;1999;x
Demirkol;680030;KUR;1930;1930;1941;1990;2;3;131072;1;0;5;2;M548007;1930;1960;1999;x
Hesse;680031;KUR;1940;1990;1990;1990;3;3;65536;0;0;5;2;L548030;1940;1960;1999;x
Krapp;680032;KUR;1941;1990;1990;1990;3;4;4096;0;0;5;2;L548031;1941;1946;1999;x
Vardad;680033;KUR;1941;1945;1990;1990;2;2;16384;1;0;5;2;M548032;1941;1960;1999;x
Za'irpur;680034;KUR;1930;1990;1990;1990;3;2;32768;0;0;5;2;M548031;1930;1960;1999;x
Özal;680035;KUR;1939;1990;1990;1990;3;2;0;0;0;5;2;L548034;1939;1960;1999;x
Commander;548900;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548901;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548902;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548903;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548904;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548905;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548906;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548907;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548908;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548909;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548910;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548911;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548912;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548913;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548914;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548915;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548916;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548917;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548918;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;548919;KUR;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
