Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Diedrich;385001;LUX;1937;1942;1990;1990;2;3;2;1;0;5;0;L400000;1937;1960;1999;x
Federspiel;385002;LUX;1939;1990;1990;1990;3;3;0;0;0;5;0;L400001;1939;1944;1999;x
Felix Bourbon-Parma;385003;LUX;1930;1930;1990;1990;2;3;4;1;0;5;0;L400002;1942;1960;1999;x
Fischbach;385004;LUX;1930;1990;1990;1990;3;3;0;0;0;5;0;L400003;1930;1960;1999;x
Glodt;385005;LUX;1939;1990;1990;1990;3;3;128;0;0;2;0;L400004;1939;1944;1999;x
Haupert;385006;LUX;1930;1930;1990;1990;2;4;513;1;0;5;0;L400005;1930;1939;1999;x
Jean de Luxembourg;385007;LUX;1944;1990;1990;1990;3;3;0;0;0;5;0;L400006;1944;1960;1999;x
Seurlis;385008;LUX;1939;1990;1990;1990;3;3;0;0;0;5;0;L400007;1939;1960;1999;x
Schmit;385009;LUX;1930;1990;1990;1990;3;3;0;0;0;5;0;L400008;1930;1960;1999;x
Speller;385010;LUX;1930;1930;1930;1990;1;3;0;1;0;5;0;L400009;1930;1960;1999;x
Wagener;385011;LUX;1942;1990;1990;1990;3;3;0;0;0;5;0;L400010;1942;1960;1999;x
Fischbach;385012;LUX;1930;1990;1990;1990;3;3;0;0;0;5;1;L400011;1930;1960;1999;x
Speller;385013;LUX;1930;1930;1990;1990;2;3;0;0;0;5;1;L400012;1930;1960;1999;x
Wagener;385014;LUX;1942;1990;1990;1990;3;3;0;0;0;5;1;L400013;1942;1960;1999;x
Diedrich;385015;LUX;1937;1942;1990;1990;2;3;0;1;0;5;2;L400014;1937;1960;1999;x
Federspiel;385016;LUX;1939;1990;1990;1990;3;3;0;0;0;5;2;L400015;1939;1944;1999;x
Steffen;385017;LUX;1930;1990;1990;1990;3;3;16384;0;0;5;2;L400016;1930;1960;1999;x
Commander;400900;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400901;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400902;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400903;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400904;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400905;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400906;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400907;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400908;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400909;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400910;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400911;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400912;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400913;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400914;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400915;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400916;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400917;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400918;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400919;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400920;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400921;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400922;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400923;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400924;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400925;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400926;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400927;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400928;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400929;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400930;LUX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;400951;LUX;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;400952;LUX;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;400953;LUX;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;400954;LUX;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;400955;LUX;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;400956;LUX;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;400957;LUX;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;400958;LUX;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;400959;LUX;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;400960;LUX;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;400976;LUX;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;400977;LUX;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;400978;LUX;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;400979;LUX;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;400980;LUX;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;400981;LUX;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;400982;LUX;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;400983;LUX;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;400984;LUX;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;400985;LUX;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
