Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bjilgor;235001;MAN;1939;1990;1990;1990;3;6;16;0;0;4;0;L250000;1939;1946;1999;x
Zhang Jinghui;235002;MAN;1930;1930;1930;1990;1;4;513;1;0;4;0;L250001;1930;1942;1999;x
Zhang Haipeng;235003;MAN;1930;1930;1930;1930;0;4;2;1;0;4;0;L250002;1930;1990;1999;x
Zhang Wenzhu;235004;MAN;1943;1990;1990;1990;3;4;8;0;0;4;0;L250003;1943;1990;1999;x
Zhang Yisan;235005;MAN;1938;1942;1990;1990;2;5;0;1;0;4;0;L250004;1938;1946;1999;x
Zhao Qiuhang;235006;MAN;1944;1946;1990;1990;3;5;0;1;0;4;0;L250005;1944;1990;1999;x
Chernokoff;235007;MAN;1938;1943;1990;1990;3;5;8;1;0;3;0;L250006;1938;1946;1999;x
Ji Xing;235008;MAN;1930;1930;1942;1990;1;7;513;1;0;4;0;L250007;1930;1945;1999;x
Hayashi;235009;MAN;1943;1944;1990;1990;3;5;1;2;0;5;0;L250008;1943;1990;1999;x
Xing Shilian;235010;MAN;1938;1940;1944;1990;2;5;0;2;0;4;0;L250009;1938;1990;1999;x
Isogai;235011;MAN;1937;1942;1990;1990;2;4;0;2;0;5;0;L250010;1937;1990;1999;x
Kanjorjab;235012;MAN;1930;1941;1990;1990;2;5;0;1;0;4;0;L250011;1930;1944;1999;x
Kawashima;235013;MAN;1940;1990;1990;1990;3;4;16;0;0;4;0;L250012;1940;1945;1999;x
Kislitsin;235014;MAN;1930;1930;1930;1990;1;6;12;1;0;2;0;L250013;1930;1944;1999;x
Kilobil;235015;MAN;1930;1941;1990;1990;2;6;2;1;0;4;0;L250014;1930;1943;1999;x
Kuligin;235016;MAN;1939;1990;1990;1990;3;4;128;0;0;4;0;L250015;1939;1947;1999;x
Guo Enlin;235017;MAN;1938;1941;1942;1990;1;5;0;2;0;4;0;L250016;1938;1990;1999;x
Lü Heng;235018;MAN;1942;1990;1990;1990;3;3;0;0;0;4;0;L250017;1942;1946;1999;x
Nakajima;235019;MAN;1930;1930;1990;1990;2;4;514;1;0;5;0;L250018;1930;1939;1999;x
Semenov;235020;MAN;1930;1930;1990;1990;2;6;17;1;0;2;0;L250019;1930;1943;1999;x
von Tscherwelen;235021;MAN;1938;1990;1990;1990;3;7;4;0;0;4;0;L250020;1938;1945;1999;x
Wang Zhiyou;235022;MAN;1943;1990;1990;1990;2;4;0;0;0;4;0;L250021;1943;1990;1999;x
Wang Dianzhong;235023;MAN;1930;1930;1990;1990;2;4;0;0;0;4;0;L250022;1930;1941;1999;x
Wu Yuanmin;235024;MAN;1941;1990;1990;1990;3;4;0;0;0;4;0;L250023;1941;1990;1999;x
Yu Chencheng;235025;MAN;1938;1940;1941;1990;1;5;0;2;0;4;0;L250024;1938;1990;1999;x
Yu Zhigong;235026;MAN;1940;1990;1990;1990;3;4;0;0;0;4;0;L250025;1940;1943;1999;x
Hosonoya;235027;MAN;1930;1990;1990;1990;3;4;0;1;0;5;1;L250026;1930;1990;1999;x
Guo Wenlin;235028;MAN;1938;1990;1990;1990;3;4;0;0;0;4;1;L250027;1938;1990;1999;x
