Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
da Camara Pina;705001;MOZ;1941;1990;1990;1990;3;5;256;0;0;5;0;L569000;1941;1960;1999;x
da Costa Lopes da Silva;705002;MOZ;1939;1990;1990;1990;3;4;128;0;0;5;0;M569026;1939;1960;1999;x
da Rocha Belez Ferraz;705003;MOZ;1938;1942;1990;1990;2;4;4;1;0;5;0;L569002;1938;1960;1999;x
de Barros Rodrigues;705004;MOZ;1930;1940;1942;1990;2;4;2;2;0;5;0;M569027;1930;1960;1999;x
de Castro de Abreu é Mota;705005;MOZ;1930;1930;1990;1990;2;4;514;1;0;5;0;L569004;1930;1942;1999;x
de Silva Bastos;705006;MOZ;1938;1940;1990;1990;2;4;2;1;0;5;0;L569005;1938;1960;1999;x
Ivens Ferraz;705007;MOZ;1930;1930;1942;1990;1;4;4;1;0;5;0;M569024;1930;1960;1999;x
Kaulza de Arriaga;705008;MOZ;1944;1990;1990;1990;3;6;261;0;0;5;0;M569021;1944;1960;1999;x
Lobato Guerra;705009;MOZ;1930;1940;1990;1990;3;4;64;1;0;5;0;M569025;1930;1960;1999;x
Martins de Carvalho;705010;MOZ;1930;1930;1930;1990;1;5;513;1;0;5;0;M569008;1930;1942;1999;x
Miranda Cabral;705011;MOZ;1930;1930;1990;1990;2;5;515;1;0;5;0;L569010;1930;1960;1999;x
Nunes Gomes;705012;MOZ;1944;1990;1990;1990;3;5;4;0;0;5;0;M569029;1944;1960;1999;x
Pereira Cabral;705013;MOZ;1930;1930;1930;1930;0;4;513;1;0;5;0;M569001;1930;1941;1999;x
Silva Nunes;705014;MOZ;1941;1990;1990;1990;3;4;128;0;0;5;0;M569022;1941;1960;1999;x
Sinel de Cordes;705015;MOZ;1930;1990;1990;1990;3;2;512;0;0;5;0;L569014;1930;1960;1999;x
