Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Baber Rana;395001;NEP;1938;1941;1990;1990;2;2;16;1;0;5;0;L410000;1938;1960;1999;x
Bond;395002;NEP;1930;1990;1990;1990;3;4;64;0;0;5;0;L410001;1930;1943;1999;x
Dhir Rana;395003;NEP;1941;1946;1990;1990;3;3;4;1;0;5;0;L410002;1941;1960;1999;x
Gehendra Rana;395004;NEP;1942;1990;1990;1990;3;2;1;0;0;5;0;L410003;1942;1960;1999;x
Kiran Rana;395005;NEP;1930;1939;1990;1990;2;2;1;1;0;5;0;L410004;1930;1943;1999;x
Mainwaring;395006;NEP;1943;1990;1990;1990;3;3;128;1;0;5;0;L410005;1943;1960;1999;x
Mohan Rana;395007;NEP;1930;1990;1990;1990;3;2;2;0;0;5;0;L410006;1930;1941;1999;x
Nara Rana;395008;NEP;1940;1945;1947;1990;1;3;16;2;0;5;0;L410007;1940;1960;1999;x
Ojasuni Rana;395009;NEP;1930;1930;1930;1930;0;2;512;1;0;5;0;L410008;1930;1941;1999;x
Padma Rana;395010;NEP;1930;1930;1930;1990;1;2;512;1;0;5;0;L410009;1930;1939;1999;x
Potter;395011;NEP;1939;1939;1990;1990;2;3;0;1;0;5;0;L410010;1939;1945;1999;x
Rudra Rana;395012;NEP;1937;1941;1943;1990;1;3;2;2;0;5;0;L410011;1937;1960;1999;x
Thapa;395013;NEP;1940;1942;1990;1990;2;2;0;1;0;5;0;L410012;1940;1960;1999;x
Collins;395014;NEP;1940;1990;1990;1990;3;3;0;0;0;5;1;L410013;1940;1946;1999;x
Rudra Rana;395015;NEP;1937;1941;1990;1990;2;2;0;0;0;5;1;L410014;1937;1960;1999;x
Collins;395016;NEP;1940;1990;1990;1990;3;2;131072;0;0;5;2;L410015;1940;1946;1999;x
Gehendra Rana;395017;NEP;1942;1944;1990;1990;3;2;0;1;0;5;2;L410016;1942;1960;1999;x
Kiran Rana;395018;NEP;1930;1939;1990;1990;2;2;0;1;0;5;2;L410017;1930;1943;1999;x
Commander;410900;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410901;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410902;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410903;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410904;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410905;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410906;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410907;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410908;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410909;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410910;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410911;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410912;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410913;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410914;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410915;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410916;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410917;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410918;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410919;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410920;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410921;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410922;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410923;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410924;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410925;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410926;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410927;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410928;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410929;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410930;NEP;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;410951;NEP;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;410952;NEP;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;410953;NEP;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;410954;NEP;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;410955;NEP;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;410956;NEP;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;410957;NEP;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;410958;NEP;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;410959;NEP;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;410960;NEP;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;410976;NEP;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;410977;NEP;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;410978;NEP;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;410979;NEP;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;410980;NEP;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;410981;NEP;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;410982;NEP;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;410983;NEP;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;410984;NEP;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
Commander;410985;NEP;9999;9999;9999;9999;1;1;0;0;0;5;2;unknown;1960;9999;9999;x
