Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Barquesentó Ramos;315001;NIC;1930;1930;1990;1990;2;5;513;1;0;5;0;L230000;1930;1939;1999;x
Caraval Antonio;315002;NIC;1930;1930;1938;1990;1;4;1;1;0;2;0;L230001;1930;1941;1999;x
Carrión McDonough;315003;NIC;1945;1990;1990;1990;3;3;32;0;0;4;0;L230002;1945;1960;1999;x
Corovél Kirsch;315004;NIC;1938;1941;1990;1990;2;4;0;1;0;4;0;L230003;1938;1946;1999;x
Estrasa y Juan;315005;NIC;1939;1943;1946;1990;2;4;16;3;0;5;0;L230004;1939;1960;1999;x
Garcia Zaldana;315006;NIC;1939;1990;1990;1990;3;3;0;0;0;4;0;L230005;1939;1960;1999;x
Halleslevens Acevedo;315007;NIC;1943;1946;1990;1990;3;4;128;1;0;4;0;L230006;1943;1960;1999;x
Monterrey;315008;NIC;1939;1990;1990;1990;3;3;128;0;0;4;0;L230007;1939;1943;1999;x
Niño Miranda;315009;NIC;1945;1990;1990;1990;3;3;256;0;0;5;0;L230008;1945;1960;1999;x
Reyes Palomino;315010;NIC;1938;1942;1990;1990;2;3;2;1;0;5;0;L230009;1938;1960;1999;x
Rivas Cuadra;315011;NIC;1942;1944;1990;1990;2;3;0;1;0;5;0;L230010;1942;1960;1999;x
Roque Garcia;315012;NIC;1944;1990;1990;1990;3;3;0;0;0;4;0;L230011;1944;1960;1999;x
Salvatierra Rivera;315013;NIC;1944;1990;1990;1990;3;3;64;0;0;3;0;L230012;1944;1960;1999;x
Solar y Hermansillo;315014;NIC;1930;1930;1990;1990;2;5;516;1;0;4;0;L230013;1930;1942;1999;x
Somoza;315015;NIC;1930;1930;1930;1930;0;2;0;0;0;5;0;L230014;1930;1960;1999;x
Flores Mendienta;315016;NIC;1939;1941;1990;1990;2;3;0;1;0;5;1;L230015;1939;1960;1999;x
Niño Miranda;315017;NIC;1945;1990;1990;1990;3;3;0;0;0;5;1;L230016;1945;1960;1999;x
Somoza;315018;NIC;1930;1930;1930;1990;1;2;0;0;0;5;1;L230017;1930;1960;1999;x
Espinoza Altamirano;315019;NIC;1930;1990;1990;1990;3;3;0;0;0;4;2;L230018;1938;1945;1999;x
Garcia Zaldana;315020;NIC;1939;1990;1990;1990;3;3;0;0;0;4;2;L230019;1939;1960;1999;x
Marenco;315021;NIC;1945;1990;1990;1990;3;3;0;0;0;4;2;L230020;1945;1960;1999;x
Pereda Quintas;315022;NIC;1930;1990;1990;1990;3;3;0;0;0;4;2;L230021;1930;1942;1999;x
Rivas Cuadra;315023;NIC;1942;1944;1990;1990;2;3;0;1;0;5;2;L230022;1942;1960;1999;x
Chamorro;315024;NIC;1908;1908;1908;1932;1;3;0;2;0;5;0;949;1908;1932;1999;x
García;315025;NIC;1908;1908;1908;1932;1;3;0;2;0;5;0;950;1908;1932;1999;x
Moncada;315026;NIC;1908;1908;1932;1932;2;3;0;2;0;5;0;951;1908;1932;1999;x
Salgado;315027;NIC;1908;1908;1932;1932;2;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Irías;315028;NIC;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Colindres;315029;NIC;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Díaz;315030;NIC;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Commander;230900;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230901;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230902;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230903;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230904;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230905;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230906;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230907;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230908;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230909;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230910;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230911;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230912;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230913;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230914;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230915;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230916;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230917;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230918;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230919;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230920;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230921;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230922;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230923;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230924;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230925;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230926;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230927;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230928;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230929;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230930;NIC;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;230951;NIC;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;230952;NIC;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;230953;NIC;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;230954;NIC;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;230955;NIC;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;230956;NIC;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;230957;NIC;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;230958;NIC;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;230959;NIC;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;230960;NIC;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
