Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ardito Barletta;405001;PAN;1945;1990;1990;1990;3;3;0;0;0;5;0;L420000;1945;1960;1999;x
Avila;405002;PAN;1941;1990;1990;1990;3;4;16;0;0;4;0;L420001;1941;1960;1999;x
Craúl del Rio;405003;PAN;1944;1990;1990;1990;3;3;256;0;0;5;0;L420002;1944;1960;1999;x
Esteverréz Mendoza;405004;PAN;1930;1939;1990;1990;2;3;0;1;0;4;0;L420003;1930;1943;1999;x
Fabrego Páz;405005;PAN;1930;1930;1990;1990;2;3;32;0;0;4;0;L420004;1930;1943;1999;x
Gomez Ayan;405006;PAN;1940;1990;1990;1990;3;3;1;0;0;4;0;L420005;1940;1960;1999;x
Gómez y Montalbañes;405007;PAN;1930;1930;1930;1990;1;4;513;1;0;4;0;L420006;1930;1939;1999;x
Proll Hernandéz;405008;PAN;1937;1939;1941;1990;1;4;0;2;0;5;0;L420007;1937;1946;1999;x
Torrijos;405009;PAN;1944;1990;1990;1990;3;4;256;1;0;5;0;L420008;1944;1960;1999;x
Marciaga;405010;PAN;1941;1944;1990;1990;3;4;0;1;0;3;0;L420009;1941;1944;1999;x
Remón Cantera;405011;PAN;1930;1939;1941;1990;1;5;0;2;0;5;0;L420010;1930;1960;1999;x
Villa Ayala;405012;PAN;1930;1990;1990;1990;3;3;16;0;0;3;0;L420011;1930;1939;1999;x
Villarino;405013;PAN;1940;1943;1990;1990;2;4;0;0;0;5;0;L420012;1940;1960;1999;x
Arias Hernandez;405014;PAN;1942;1945;1990;1990;2;3;0;1;0;4;1;L420013;1942;1960;1999;x
Díaz Hernandéz;405015;PAN;1939;1990;1990;1990;3;3;0;0;0;4;1;L420014;1939;1945;1999;x
Navarro Toro;405016;PAN;1930;1990;1990;1990;3;3;1024;0;0;5;1;L420015;1930;1943;1999;x
Osborne Irragá;405017;PAN;1930;1930;1990;1990;2;3;0;0;0;5;1;L420016;1930;1942;1999;x
Riccardi Salvaréz;405018;PAN;1941;1990;1990;1990;3;3;0;0;0;4;1;L420017;1941;1960;1999;x
Gavria del Rio;405019;PAN;1940;1990;1990;1990;3;3;0;0;0;4;2;L420018;1940;1960;1999;x
Gelabert;405020;PAN;1930;1930;1990;1990;2;4;16384;0;0;5;2;L420019;1930;1941;1999;x
Parada;405021;PAN;1942;1990;1990;1990;3;3;4096;0;0;3;2;L420020;1942;1947;1999;x
Remón Cantera;405022;PAN;1930;1939;1941;1990;1;4;0;2;0;4;2;L420021;1930;1960;1999;x
San Sirio;405023;PAN;1943;1990;1990;1990;3;3;0;0;0;5;2;L420022;1943;1960;1999;x
de Obarrio;405024;PAN;1947;1952;1990;1990;2;3;0;1;0;5;0;M95093;1947;1960;1999;x
Villareal;405025;PAN;1908;1912;1932;1932;2;2;0;1;0;5;0;unknownleader;1908;1932;1999;x
Miranda;405026;PAN;1912;1932;1932;1932;3;2;0;1;0;5;0;unknownleader;1912;1932;1999;x
Quinzada;405027;PAN;1912;1932;1932;1932;3;2;0;1;0;5;0;unknownleader;1912;1932;1999;x
Lamb;405028;PAN;1912;1932;1932;1932;3;2;0;1;0;5;0;unknownleader;1912;1932;1999;x
Lopez;405029;PAN;1906;1908;1912;1932;1;2;512;1;0;5;0;unknownleader;1906;1932;1999;x
Commander;420900;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420901;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420902;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420903;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420904;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420905;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420906;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420907;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420908;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420909;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420910;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420911;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420912;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420913;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420914;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420915;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420916;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420917;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420918;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420919;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420920;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420921;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420922;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420923;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420924;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420925;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420926;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420927;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420928;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420929;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420930;PAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;420951;PAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;420952;PAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;420953;PAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;420954;PAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;420955;PAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;420956;PAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;420957;PAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;420958;PAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;420959;PAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
Commander;420960;PAN;9999;9999;9999;9999;1;1;0;0;0;5;1;unknown;1960;9999;9999;x
