Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
al-Aziz;565001;BEN;1930;1930;1990;1990;2;2;1;0;0;5;0;M533057;1930;1942;1999;x
Alley;565002;BEN;1944;1990;1990;1990;3;2;64;0;0;5;0;L533001;1944;1960;1999;x
Bourgoin;565003;BEN;1940;1990;1990;1990;3;4;256;0;0;5;0;L533002;1940;1960;1999;x
Chabert;565004;BEN;1940;1990;1990;1990;3;3;256;0;0;5;0;L533003;1940;1960;1999;x
Colonna d'Ornano;565005;BEN;1930;1990;1990;1990;3;4;1;0;0;5;0;L533004;1930;1941;1999;x
Delpech;565006;BEN;1930;1930;1990;1990;2;3;514;1;0;5;0;M533008;1930;1942;1999;x
de Roux;565007;BEN;1940;1990;1990;1990;3;2;0;0;0;5;0;L533006;1940;1960;1999;x
de Saint-Alary;565008;BEN;1930;1930;1930;1990;1;2;514;1;0;5;0;M533007;1930;1943;1999;x
Favreau;565009;BEN;1938;1942;1990;1990;2;3;1;1;0;5;0;L533008;1938;1960;1999;x
Jomo;565010;BEN;1930;1990;1990;1990;3;2;16;0;0;5;0;M533053;1930;1942;1999;x
Koli;565011;BEN;1938;1943;1990;1990;2;3;17;1;0;5;0;M533058;1938;1960;1999;x
Latrille;565012;BEN;1939;1942;1990;1990;2;3;1;1;0;5;0;M533024;1939;1960;1999;x
Mouniro;565013;BEN;1940;1990;1990;1990;3;2;1;0;0;5;0;L533012;1940;1960;1999;x
Muller;565014;BEN;1930;1990;1990;1990;3;3;32;0;0;5;0;L533013;1930;1960;1999;x
Parant;565015;BEN;1930;1990;1990;1990;3;3;1;0;0;5;0;L533014;1930;1941;1999;x
Pinhede;565016;BEN;1941;1990;1990;1990;3;3;64;0;0;5;0;L533015;1941;1960;1999;x
Podeur;565017;BEN;1941;1990;1990;1990;3;4;4;0;0;5;0;M533056;1941;1960;1999;x
Renard;565018;BEN;1939;1945;1990;1990;2;3;128;1;0;5;0;L533017;1939;1960;1999;x
Saibou;565019;BEN;1945;1990;1990;1990;3;2;2;0;0;5;0;M533054;1945;1960;1999;x
Salceti;565020;BEN;1930;1941;1943;1990;1;4;1;2;0;5;0;M533014;1930;1960;1999;x
Savelli;565021;BEN;1939;1990;1990;1990;3;4;257;0;0;5;0;L533020;1939;1960;1999;x
Scamaroni;565022;BEN;1941;1990;1990;1990;3;2;0;0;0;5;0;M533062;1941;1960;1999;x
Soglo;565023;BEN;1945;1990;1990;1990;3;2;128;0;0;5;0;L533022;1945;1960;1999;x
Villerot;565024;BEN;1939;1942;1945;1990;1;4;1;2;0;5;0;L533023;1939;1960;1999;x
d'Oultre Seille;565025;BEN;1930;1930;1990;1990;2;3;1024;0;0;5;1;M533009;1930;1960;1999;x
Franzone;565026;BEN;1940;1990;1990;1990;3;3;4096;0;0;5;1;L533025;1940;1960;1999;x
Louveau;565027;BEN;1930;1945;1990;1990;2;3;0;1;0;5;1;M533059;1930;1960;1999;x
Canepa;565028;BEN;1941;1990;1990;1990;3;2;4096;0;0;5;2;L533027;1941;1960;1999;x
de Roux;565029;BEN;1940;1990;1990;1990;3;3;4096;0;0;5;2;L533006;1940;1960;1999;x
Flury-Hérard;565030;BEN;1930;1990;1990;1990;3;3;0;0;0;5;2;M533010;1930;1960;1999;x
