Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alaverdov;435001;TAN;1938;1942;1990;1990;2;2;1;1;0;5;0;L340000;1938;1947;1999;x
Bogaichuk;435002;TAN;1930;1930;1938;1990;1;2;0;1;0;5;0;L340001;1930;1943;1999;x
Kolpakchi;435003;TAN;1943;1990;1990;1990;3;2;4;0;0;5;0;L340002;1943;1960;1999;x
Konstantinov;435004;TAN;1930;1941;1990;1990;3;2;128;1;0;5;0;L340003;1930;1960;1999;x
Kreizer;435005;TAN;1941;1990;1990;1990;3;2;64;0;0;5;0;L340004;1941;1960;1999;x
Kulikovskij;435006;TAN;1940;1990;1990;1990;3;2;256;0;0;5;0;L340005;1940;1960;1999;x
Nanejshvili;435007;TAN;1930;1930;1990;1990;2;2;32;0;0;5;0;L340006;1930;1945;1999;x
Repin;435008;TAN;1943;1990;1990;1990;3;2;2;0;0;5;0;L340007;1943;1960;1999;x
Sherstyuk;435009;TAN;1938;1990;1990;1990;3;2;0;0;0;5;0;L340008;1938;1960;1999;x
Shoma;435010;TAN;1930;1941;1990;1990;2;3;16;1;0;4;0;L340009;1930;1960;1999;x
Tovarischtaj;435011;TAN;1930;1930;1939;1990;1;3;16;1;0;4;0;L340010;1930;1960;1999;x
Tulberdiev;435012;TAN;1930;1990;1990;1990;3;3;256;0;0;5;0;L340011;1930;1942;1999;x
Kulikovskij;435013;TAN;1940;1990;1990;1990;3;2;0;0;0;5;1;L340012;1940;1960;1999;x
Tovarischtaj;435014;TAN;1930;1930;1990;1990;2;1;0;0;0;4;1;L340013;1930;1960;1999;x
Grinchik;435015;TAN;1937;1990;1990;1990;3;2;4096;0;0;5;2;L340014;1937;1943;1999;x
Rugalinskij;435016;TAN;1930;1939;1990;1990;2;2;0;1;0;5;2;L340015;1930;1960;1999;x
Ruzhenko;435017;TAN;1944;1990;1990;1990;3;2;0;0;0;5;2;L340016;1944;1960;1999;x
Commander;3400900;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400901;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400902;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400903;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400904;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400905;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400906;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400907;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400908;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400909;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400910;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400911;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400912;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;3400913;TAN;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
