Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arflack;780001;TEX;1942;1990;1990;1990;3;4;128;0;0;5;0;L571000;1942;1960;1999;x
Arnold;780002;TEX;1941;1944;1990;1990;2;5;4;1;0;5;0;M571023;1941;1960;1999;x
Ashcroft;780003;TEX;1939;1942;1946;1990;2;6;128;2;0;5;0;M571026;1939;1960;1999;x
Baker;780004;TEX;1941;1990;1990;1990;3;3;0;0;0;5;0;L571003;1941;1960;1999;x
Bisson;780005;TEX;1942;1990;1990;1990;3;7;256;0;0;5;0;L571004;1942;1960;1999;x
Collins;780006;TEX;1930;1939;1990;1990;2;5;128;1;0;5;0;L571005;1930;1960;1999;x
Densford;780007;TEX;1942;1990;1990;1990;3;4;32;0;0;5;0;L571006;1942;1960;1999;x
Ellis;780008;TEX;1942;1990;1990;1990;3;4;16;0;0;5;0;L571007;1942;1960;1999;x
Etheredge;780009;TEX;1930;1941;1990;1990;3;6;4;1;0;5;0;L571008;1930;1960;1999;x
Finn;780010;TEX;1930;1941;1990;1990;2;5;64;1;0;5;0;L571009;1930;1960;1999;x
Goodwin;780011;TEX;1942;1990;1990;1990;3;3;0;0;0;5;0;L571010;1942;1960;1999;x
Hicks;780012;TEX;1943;1990;1990;1990;3;4;4;0;0;5;0;L571011;1943;1960;1999;x
Kennedy;780013;TEX;1937;1990;1990;1990;3;3;0;0;0;5;0;L571012;1937;1945;1999;x
Kimball;780014;TEX;1930;1990;1990;1990;3;4;256;0;0;5;0;L571013;1930;1960;1999;x
Knox;780015;TEX;1930;1930;1940;1990;1;5;64;1;0;5;0;M571007;1930;1960;1999;x
McAllister;780016;TEX;1938;1941;1990;1990;2;5;32;1;0;5;0;L571015;1938;1960;1999;x
Myers;780017;TEX;1938;1942;1990;1990;2;7;4;1;0;5;0;L571016;1938;1960;1999;x
Ricketts;780018;TEX;1930;1930;1930;1990;1;5;4;1;0;5;0;M571008;1930;1960;1999;x
Stockman;780019;TEX;1930;1930;1930;1990;1;6;514;1;0;5;0;M571025;1930;1946;1999;x
Taylor;780020;TEX;1940;1943;1990;1990;2;6;1;1;0;5;0;L571019;1940;1960;1999;x
Wallace;780021;TEX;1930;1940;1990;1990;2;4;1;1;0;5;0;L571020;1930;1960;1999;x
Watt-Page;780022;TEX;1930;1939;1941;1990;1;7;6;2;0;5;0;L571021;1930;1960;1999;x
Bush;780023;TEX;1939;1943;1990;1990;2;6;1024;1;0;5;1;M571027;1939;1960;1999;x
Emerson;780024;TEX;1941;1990;1990;1990;3;5;8192;0;0;5;1;M571014;1941;1960;1999;x
Pedersen;780025;TEX;1940;1990;1990;1990;3;7;0;0;0;5;1;L571024;1940;1960;1999;x
Pollard;780026;TEX;1930;1930;1939;1990;1;6;4096;1;0;5;1;M571009;1930;1960;1999;x
Scholl;780027;TEX;1943;1990;1990;1990;3;5;0;0;0;5;1;L571026;1943;1960;1999;x
Sharp;780028;TEX;1940;1990;1990;1990;3;4;2048;0;0;5;1;L571027;1940;1960;1999;x
Willard;780029;TEX;1930;1940;1942;1990;1;6;0;2;0;5;1;M571011;1930;1960;1999;x
Armington;780030;TEX;1930;1938;1942;1990;1;6;32768;2;0;5;2;M571010;1930;1960;1999;x
Ash;780031;TEX;1940;1990;1990;1990;3;4;0;0;0;5;2;L571030;1940;1960;1999;x
Collins;780032;TEX;1940;1942;1990;1990;2;6;16384;1;0;5;2;M571028;1940;1960;1999;x
Dehnert;780033;TEX;1942;1990;1990;1990;3;5;65536;0;0;5;2;L571032;1942;1960;1999;x
Lee;780034;TEX;1930;1990;1990;1990;3;5;0;0;0;5;2;L571033;1930;1960;1999;x
Soffer;780035;TEX;1938;1990;1990;1990;3;5;0;0;0;5;2;L571034;1938;1960;1999;x
Turner;780036;TEX;1930;1990;1990;1990;3;5;4096;0;0;5;2;L571035;1930;1960;1999;x
Warren;780037;TEX;1937;1990;1990;1990;3;6;4096;0;0;5;2;L571036;1937;1960;1999;x
Willard;780038;TEX;1930;1940;1942;1990;1;5;131072;2;0;5;2;M571011;1930;1960;1999;x
Winston;780039;TEX;1930;1990;1990;1990;3;4;4096;0;0;5;2;L571038;1930;1960;1999;x
Veal;780040;TEX;1939;1943;1990;1990;2;4;0;1;0;5;2;L571039;1939;1960;1999;x
Commander;571900;TEX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;571901;TEX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;571902;TEX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
Commander;571903;TEX;9999;9999;9999;9999;1;1;0;0;0;5;0;unknown;1960;9999;9999;x
