IRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
125001;Head of State;Donal Buckley;1932;1964;1999;ML;Insignificant Layman;High;2490;X
125002;Head of Government;Eamon de Valera;1926;1964;1999;ML;Flamboyant Tough Guy;High;2491;X
125003;Foreign Minister;Eamon de Valera;1932;1964;1999;ML;Ideological Crusader;Undying;2491;X
125004;Minister of Armament;Seán MacEntee;1933;1964;1999;ML;laissez-faire capitalist;High;M25004;X
125005;Minister of Security;Patrick J. Ruttledge;1933;1964;1999;ML;Silent Lawyer;High;M25005;X
125006;Head of Military Intelligence;Gerald Boland;1933;1964;1999;ML;Political Specialist;High;M25006;X
125007;Chief of Staff;M.J. Costello;1933;1964;1999;ML;School of Defence;High;M25007;X
125008;Chief of Army;Donal Buckley;1933;1964;1999;ML;Elastic Defence Doctrine;High;2490;X
125009;Chief of Navy;H.T. Green;1933;1964;1999;ML;Base Control Doctrine;High;M25009;X
125010;Chief of Air Force;P.A. Mulcahy;1933;1964;1999;ML;Air Superiority Doctrine;High;M25010;X
125011;Head of State;Alasdair McCabe;1933;1964;1999;SD;Benevolent Gentleman;High;M25032;X
125012;Head of State;Seán Lemass;1945;1964;1999;SD;Pig-headed Isolationist;High;M25033;X
125013;Head of State;Frank Fahy;1933;1964;1999;ML;Insignificant Layman;High;M25031;X
125014;Head of State;Douglas Hyde;1937;1964;1999;ML;Popular Figurehead;High;M25035;X
125015;Head of State;Seán T. O'Ceallaigh;1944;1964;1999;ML;Autocratic Charmer;High;M25036;X
125016;Head of State;Frank Fahy;1933;1964;1999;SC;Insignificant Layman;High;M25031;X
125017;Head of State;Eoin MacNeill;1937;1964;1999;SC;Stern Imperialist;High;M25038;X
125018;Head of State;Richard Mulcahy;1944;1964;1999;SC;Barking Buffoon;High;M25039;X
125019;Head of State;Oliver J. Flanagan;1933;1964;1999;PA;Weary Stiffneck;High;M25011;X
125020;Head of State;Jim Larkin sr.;1933;1964;1999;LWR;Barking Buffoon;High;M25021;X
125021;Head of Government;Thomas Johnson;1917;1927;1999;SD;Ambitious Union Boss;High;2493;X
125022;Head of Government;Seán Lemass;1941;1964;1999;SD;Smiling Oilman;High;M25033;X
125023;Head of Government;William Norton;1932;1960;1999;SD;Happy Amateur;High;2494;X
125024;Head of Government;W.T. Cosgrave;1922;1964;1999;SC;Silent Workhorse;High;2495;X
125025;Head of Government;Richard Mulcahy;1944;1964;1999;SC;Corporate Suit;High;M25039;X
125026;Head of Government;John A. Costello;1947;1964;1999;SC;Backroom Backstabber;High;M25048;X
125027;Head of Government;Patrick Sweeney;1933;1964;1999;FA;Happy Amateur;High;M25012;X
125028;Head of Government;James Larkin jr.;1933;1964;1999;LWR;Political Protege;High;M25022;X
125029;Foreign Minister;Liam O'Monahan;1933;1964;1999;SD;Great Compromiser;High;M25051;X
125030;Foreign Minister;Michael O'Rafferty;1937;1964;1999;SD;The Cloak N Dagger Schemer;High;M25052;X
125031;Foreign Minister;Thomas Johnson;1923;1964;1999;SD;Ideological Crusader;Very High;2493;X
125032;Foreign Minister;William Norton;1933;1964;1999;SD;Apologetic Clerk;High;2494;X
125033;Foreign Minister;P.A. Mulcahy;1947;1964;1999;ML;General Staffer;High;M25010;X
125034;Foreign Minister;W.T. Cosgrave;1927;1964;1999;SC;Biased Intellectual;Undying;2495;X
125035;Foreign Minister;Kevin O'Higgins;1927;1964;1999;SC;Ideological Crusader;High;2681;X
125036;Foreign Minister;Richard Mulcahy;1941;1964;1999;SC;Apologetic Clerk;Undying;M25039;X
125037;Foreign Minister;John A. Costello;1944;1964;1999;SC;Great Compromiser;High;M25048;X
125038;Foreign Minister;Sean MacBride;1947;1964;1999;SC;Iron Fisted Brute;High;M25061;X
125039;Foreign Minister;Oliver J. Flanagan;1933;1964;1999;PA;Biased Intellectual;Low;M25011;X
125040;Foreign Minister;Jim Larkin sr.;1933;1964;1999;LE;Iron Fisted Brute;Low;M25021;X
125041;Foreign Minister;Bill Gannon;1941;1964;1999;LWR;Ideological Crusader;High;M25023;X
125042;Minister of Armament;Seán Lemass;1933;1964;1999;SD;Resource Industrialist;High;M25033;X
125043;Minister of Armament;William Gallacher;1937;1964;1999;SD;Air Superiority Proponent;High;M25066;X
125044;Minister of Armament;Sean Murray;1939;1964;1999;SD;Air to Ground Proponent;High;M25026;X
125045;Minister of Armament;Sean Lester;1943;1964;1999;SD;Battle Fleet Proponent;High;M25068;X
125046;Minister of Armament;Cecil Lavery;1944;1964;1999;SD;Administrative Genius;High;M25069;X
125047;Minister of Armament;Patrick O'Brien;1947;1964;1999;SD;Tank Proponent;High;M25070;X
125048;Minister of Armament;Douglas Hyde;1933;1964;1999;ML;Military Entrepreneur;High;M25035;X
125049;Minister of Armament;Seán T. O'Ceallaigh;1939;1964;1999;ML;Military Entrepreneur;High;M25036;X
125050;Minister of Armament;Frank Aiken;1944;1964;1999;ML;Resource Industrialist;High;M25074;X
125051;Minister of Armament;Edmund Noel Mulcahy;1947;1964;1999;ML;Theoretical Scientist;High;M25075;X
125052;Minister of Armament;Frank McDermott;1933;1964;1999;SC;Strategic Air Proponent;High;M25076;X
125053;Minister of Armament;John A. Costello;1937;1964;1999;SC;Air to Ground Proponent;High;M25077;X
125054;Minister of Armament;Richard Mulcahy;1939;1964;1999;SC;Military Entrepreneur;High;M25039;X
125055;Minister of Armament;Seán Moylan;1941;1964;1999;SC;Infantry Proponent;High;M25079;X
125056;Minister of Armament;Patrick Lynch;1942;1964;1999;SC;Submarine Proponent;High;M25080;X
125057;Minister of Armament;John O'Byrne;1944;1964;1999;SC;laissez-faire capitalist;High;M25081;X
125058;Minister of Armament;Patrick McGilligan;1947;1964;1999;SC;Resource Industrialist;High;M25082;X
125059;Minister of Armament;Donal Brackley;1933;1964;1999;PA;Battle Fleet Proponent;High;M25014;X
125060;Minister of Armament;Eoin O'Duffy;1941;1964;1999;FA;Infantry Proponent;High;M25018;X
125061;Minister of Armament;James Conolly;1933;1964;1999;LWR;Administrative Genius;High;M25024;X
125062;Minister of Armament;James Larkin jr.;1941;1964;1999;LWR;Air Superiority Proponent;Very High;M25022;X
125063;Minister of Armament;Bill Gannon;1942;1964;1999;LE;Tank Proponent;Very Low;M25023;X
125064;Minister of Security;Alasdair McCabe;1933;1964;1999;SD;Back Stabber;High;M25032;X
125065;Minister of Security;Jack Thomas;1937;1964;1999;SD;Man of the People;High;M25089;X
125066;Minister of Security;James Geoghegan;1941;1964;1999;SD;Silent Lawyer;High;M25090;X
125067;Minister of Security;Edward J. Phelan;1942;1964;1999;SD;Prince of Terror;High;M25091;X
125068;Minister of Security;Cearbhall O'Dalaigh;1944;1964;1999;SD;Compassionate Gentleman;High;M25092;X
125069;Minister of Security;Kevin Dixon;1947;1964;1999;SD;Efficient Sociopath;High;M25093;X
125070;Minister of Security;Gerald Boland;1939;1964;1999;ML;Crime Fighter;High;M25006;X
125071;Minister of Security;Eoin MacNeill;1933;1964;1999;SC;Efficient Sociopath;High;M25038;X
125072;Minister of Security;John W. Dulanty;1937;1964;1999;SC;Crime Fighter;High;M25097;X
125073;Minister of Security;Frank McDermott;1938;1964;1999;SC;Man of the People;High;M25076;X
125074;Minister of Security;Ludwig Bieler;1941;1964;1999;SC;Prince of Terror;High;M25099;X
125075;Minister of Security;Kevin Haugh;1944;1964;1999;SC;Silent Lawyer;High;M25100;X
125076;Minister of Security;Seán MacEoin;1947;1964;1999;SC;Compassionate Gentleman;High;M25028;X
125077;Minister of Security;Eamonn Broy;1933;1964;1999;FA;Crime Fighter;High;M25015;X
125078;Minister of Security;Bill Scott;1933;1964;1999;LE;Man of the People;High;M25025;X
125079;Minister of Security;Betty Sinclair;1939;1964;1999;LE;Back Stabber;High;M25104;X
125080;Head of Military Intelligence;Denis McCullough;1933;1964;1999;SD;Naval Intelligence Specialist;Medium;M25105;X
125081;Head of Military Intelligence;Joseph Conolly;1937;1964;1999;SD;Political Specialist;High;M25106;X
125082;Head of Military Intelligence;Padraig O'Connor;1941;1964;1999;SD;Industrial Specialist;High;M25107;X
125083;Head of Military Intelligence;Hugh Kennedy;1947;1964;1999;SD;Technical Specialist;High;M25108;X
125084;Head of Military Intelligence;Frank Aiken;1933;1964;1999;ML;Industrial Specialist;High;M25074;X
125085;Head of Military Intelligence;Dan McKenna;1938;1964;1999;ML;Technical Specialist;High;M25110;X
125086;Head of Military Intelligence;Oscar Traynor;1939;1964;1999;ML;Logistics Specialist;High;M25111;X
