SIE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
765001;Head of State;Sir Henry Monck-Mason Moore;1933;1964;1999;SC;Ruthless Powermonger;High;M550004;X
765002;Head of Government;Sir Douglas Jardine;1933;1964;1999;SC;Backroom Backstabber;High;M554002;X
765003;Foreign Minister;Sir Hubert Craddock Stevenson;1933;1964;1999;SC;Great Compromiser;High;M554003;X
765004;Minister of Armament;James Albert Hall;1933;1964;1999;SC;Air Superiority Proponent;Medium;M554004;X
765005;Minister of Security;John Herbert Duncan;1933;1964;1999;SC;Man of the People;Medium;M554005;X
765006;Head of Military Intelligence;Kenneth McMurphy-Mills;1933;1964;1999;SC;Technical Specialist;Medium;M554006;X
765007;Chief of Staff;John P. Mooreshead;1933;1964;1999;SC;School of Manoeuvre;Medium;M554007;X
765008;Chief of Army;Robert Richardson;1933;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M554008;X
765009;Chief of Navy;Frank Gomersall;1933;1964;1999;SC;Open Seas Doctrine;Medium;M554009;X
765010;Chief of Air Force;Frederick Stevenson;1933;1964;1999;SC;Naval Aviation Doctrine;Medium;M554010;X
765011;Head of State;Sir Milton Margai;1933;1964;1999;SD;Weary Stiffneck;High;M554011;X
765012;Head of Government;Sir Albert Margai;1933;1964;1999;SD;Political Protege;High;M554012;X
765013;Foreign Minister;Eustace Taylor Cummings;1933;1964;1999;SD;Ideological Crusader;High;M554013;X
765014;Minister of Armament;Sir Banja Tejan-sie;1941;1964;1999;SC;Resource Industrialist;Medium;M554014;X
765015;Minister of Armament;Lamina Sankoh;1933;1964;1999;SD;Military Entrepreneur;Medium;M554015;X
765016;Minister of Security;John Karefa Smart;1933;1964;1999;SD;Crime Fighter;Medium;M554016;X
765017;Head of Military Intelligence;Kande Bureh;1933;1964;1999;SD;Logistics Specialist;Medium;M554017;X
765018;Head of Military Intelligence;Mohammed Sanusi Mustapha;1941;1964;1999;SD;Industrial Specialist;Medium;M554018;X
765019;Chief of Staff;Rafiji Manareh;1933;1964;1999;SD;School of Fire Support;Medium;M554019;X
765020;Chief of Army;Sanak Stephens;1933;1964;1999;SD;Guns and Butter Doctrine;Medium;M554020;X
765021;Chief of Navy;Amadu Wurie;1933;1964;1999;SD;Base Control Doctrine;Medium;M554021;X
765022;Chief of Air Force;Ella Koblo Gulama;1933;1964;1999;SD;Army Aviation Doctrine;Medium;M554022;X
765100;Head of Government;Sir Henry Monck-Mason Moore;1936;1964;1964;SC;Backroom Backstabber;Medium;M550004;X
765101;Head of State;Sir Douglas Jardine;1937;1964;1964;SC;Die-Hard Reformer;Medium;M554002;X
765102;Head of State;Sir Hubert Craddock Stevenson;1941;1964;1964;SC;Powerhungry Demagogue;Medium;M765102;X
765103;Head of Government;Sir Hubert Craddock Stevenson;1941;1964;1964;SC;Political Protege;Medium;M765102;X
765104;Head of State;Sir George Beresford-Stooke;1947;1964;1964;SC;Insignificant Layman;Medium;M765104;X
765105;Head of Government;Sir George Beresford-Stooke;1947;1964;1964;SC;Flamboyant Tough Guy;Medium;M765104;X
765106;Head of State;Sir Robert de Zouche Hall;1952;1964;1964;SC;Powerhungry Demagogue;Medium;M765106;X
765107;Head of Government;Sir Robert de Zouche Hall;1952;1964;1964;SC;Naive Optimist;Medium;M765106;X
765108;Head of State;Sir Maurice Henry Dorman;1957;1964;1964;SC;Benevolent Gentleman;Medium;M765108;X
765109;Head of Government;Sir Milton Margai;1957;1964;1964;SC;Old General;Medium;M765109;X
765110;Head of State;Sir Henry J. Lightfoot Boston;1962;1964;1964;SC;Resigned Generalissimo;Medium;M765110;X
765111;Head of State;Siaka Stevens;1968;1989;1989;FA;Ruthless Powermonger;High;SIE1;X
765112;Head of Government;Siaka Stevens;1968;1989;1989;FA;Ambitious Union Boss;High;SIE1;X
765113;Head of Government;Sir Albert Margai;1964;1981;1981;ML;Corporate Suit;High;M765113;X
765114;Head of State;Andrew Juxon-Smith;1967;1997;1997;PA;Die-Hard Reformer;High;M765114;X
765115;Head of Government;Andrew Juxon-Smith;1967;1997;1997;PA;Corporate Suit;High;M765114;X
765116;Head of State;Sir Banja Tejan-Sie;1968;2001;2001;SD;Die-Hard Reformer;High;M765116;X
765117;Head of Government;Sorie Ibrahim Koroma;1971;1995;1995;SD;Old Admiral;High;M765117;X
765118;Head of Government;Christian Kamara-Taylor;1975;1986;1986;SD;Naive Optimist;High;M765118;X
765119;Head of State;Joseph Saidu Momoh;1985;2004;2004;LWR;Benevolent Gentleman;High;M765119;X
765120;Head of Government;Francis Minah;1985;1990;2010;LWR;Old Admiral;High;M765120;X
