SPA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
35001;Head of State;Miguel Cabanellas Ferrer;1933;1964;1999;FA;Resigned Generalissimo;High;M10001;X
35002;Head of Government;Fidel Dávila Arrondo;1933;1964;1999;FA;Political Protege;High;M10002;X
35003;Foreign Minister;Francisco de Asís Serrat y Bonastre;1933;1964;1999;FA;Ideological Crusader;High;M10003;X
35004;Minister of Armament;Gérman Gil y Yuste;1933;1964;1999;FA;Infantry Proponent;High;M10004;X
35005;Minister of Security;Miguel Ponte Mansó de Zúñiga;1933;1964;1999;PA;Crime Fighter;High;M10005;X
35006;Head of Military Intelligence;Angel Salas Larrázabal;1933;1964;1999;FA;Political Specialist;High;M10006;X
35007;Chief of Staff;Fidel Dávila Arrondo;1933;1964;1999;FA;School of Psychology;High;M10002;X
35008;Chief of Army;Emilio Mola Vidal;1933;1964;1999;FA;Decisive Battle Doctrine;Very High;M10008;X
35009;Chief of Navy;Francisco Moreno Fernández;1933;1964;1999;FA;Open Seas Doctrine;High;M10009;X
35010;Chief of Air Force;Alfredo Kindelán y Duany;1933;1964;1999;PA;Carpet Bombing Doctrine;High;M10010;X
35011;Head of State;Francisco Franco Bahamonde;1933;1976;1976;PA;Stern Imperialist;High;L3426;X
35012;Head of State;Javier de Borbón-Parma;1933;1964;1999;FA;Autocratic Charmer;High;M10034;X
35013;Head of State;Juan III;1941;1964;1999;SC;Benevolent Gentleman;High;M10011;X
35014;Head of State;Alfonso XIII;1933;1964;1999;SC;Insignificant Layman;High;M10039;X
35015;Head of Government;Emilio Mola Vidal;1933;1964;1999;PA;Old General;High;M10008;X
35016;Head of Government;Francisco Franco Bahamonde;1933;1976;1976;PA;Silent Workhorse;High;L3426;X
35017;Head of Government;Tomás Domínguez Arévalo;1937;1964;1999;FA;Happy Amateur;High;M10048;X
35018;Head of Government;Manuel Fal Conde;1941;1964;1999;FA;Political Protege;High;M10049;X
35019;Head of Government;Manuel Hedilla Larrey;1944;1964;1999;FA;Smiling Oilman;High;M10050;X
35020;Head of Government;José María Gil-Robles Quiñones;1933;1964;1999;PA;Silent Workhorse;High;M10012;X
35021;Head of Government;Gonzalo Queipo de Llano;1933;1964;1999;ML;Old General;High;M10055;X
35022;Foreign Minister;Francisco Gómez-Jordana y Souza;1933;1964;1999;PA;Biased Intellectual;High;M10057;X
35023;Foreign Minister;Juan Luis Beigbeder y Atienza;1939;1964;1999;PA;General Staffer;Medium;M10013;X
35024;Foreign Minister;Ramón Serrano Súñer;1940;1964;1999;PA;Ideological Crusader;Medium;M10059;X
35025;Foreign Minister;José Lequerica y Erquiza;1944;1964;1999;PA;The Cloak N Dagger Schemer;High;M10060;X
35026;Foreign Minister;Alberto M. Artejo-Álvarez;1945;1964;1999;PA;Apologetic Clerk;High;M10061;X
35027;Foreign Minister;Tomás Domínguez Arévalo;1933;1964;1999;FA;Iron Fisted Brute;High;M10048;X
35028;Foreign Minister;Enrique Plá y Deniel;1938;1964;1999;FA;Ideological Crusader;Medium;M10063;X
35029;Foreign Minister;Javier de Borbón-Parma;1933;1964;1999;FA;General Staffer;High;M10034;X
35030;Foreign Minister;Victor Pradera;1943;1964;1999;FA;Ideological Crusader;High;M10066;X
35031;Foreign Minister;Luís Hernando de Larramendi;1946;1964;1999;FA;Biased Intellectual;High;M10067;X
35032;Foreign Minister;Manuel Fal Conde;1947;1964;1999;FA;The Cloak N Dagger Schemer;High;M10049;X
35033;Foreign Minister;José de Areilza y Martínez-Rodas;1942;1964;1999;FA;Great Compromiser;High;M10071;X
35034;Foreign Minister;José Luís Arrese Magra;1939;1964;1999;FA;Iron Fisted Brute;High;M10072;X
35035;Foreign Minister;Manuel Hedilla Larrey;1946;1964;1999;FA;Biased Intellectual;High;M10050;X
35036;Foreign Minister;Raimundo Fernández Cuesta;1947;1964;1999;FA;The Cloak N Dagger Schemer;High;M10074;X
35037;Foreign Minister;Ramiro de Maeztu;1933;1964;1999;SC;Ideological Crusader;High;M10075;X
35038;Foreign Minister;Francisco de Borbón de la Torre;1941;1964;1999;SC;General Staffer;Medium;M10077;X
35039;Foreign Minister;Jacobo Fitz-James Stuart;1945;1964;1999;SC;Biased Intellectual;Medium;M10080;X
35040;Foreign Minister;José Yanguas Messía;1933;1964;1999;SC;Great Compromiser;High;M11150;X
35041;Foreign Minister;Claudio Sánchez Albornoz;1933;1964;1999;ML;Ideological Crusader;High;M11072;X
35042;Foreign Minister;José Martínez de Velasco;1937;1964;1999;ML;Iron Fisted Brute;Low;M11110;X
35043;Foreign Minister;Luis Luciá Luciá;1938;1964;1999;ML;Biased Intellectual;Low;M11113;X
35044;Foreign Minister;José Ungría Jiménez;1940;1964;1999;FA;General Staffer;High;M10085;X
35045;Foreign Minister;Niceto Alcalá-Zamora;1941;1964;1999;ML;Great Compromiser;High;7381;X
35046;Foreign Minister;José de Areilza y Martínez-Rodas;1946;1964;1999;ML;The Cloak N Dagger Schemer;High;M10071;X
35047;Minister of Armament;José de Areilza y Martínez-Rodas;1933;1964;1999;PA;laissez-faire capitalist;High;M10071;X
35048;Minister of Armament;Ramón Franco Bahamonde;1937;1964;1999;PA;Air Superiority Proponent;Medium;M10089;X
35049;Minister of Armament;Fidel Dávila Arrondo;1938;1964;1999;PA;Military Entrepreneur;High;M10002;X
35050;Minister of Armament;Nicolás Franco Bahamonde;1933;1964;1999;PA;Battle Fleet Proponent;Very High;M10092;X
35051;Minister of Armament;Joaquin Benjumea Búrin;1941;1964;1999;FA;Resource Industrialist;High;M10093;X
35052;Minister of Armament;José Larraz Lopez;1939;1964;1999;FA;Keynesian economy;High;M11139;X
35053;Minister of Armament;Mariano Ansó;1946;1964;1999;PA;Air to Ground Proponent;Medium;M10096;X
35054;Minister of Armament;Joaquín Bau Nolla;1937;1964;1999;FA;Administrative Genius;Medium;M10095;X
35055;Minister of Armament;Luís Hernando de Larramendi;1939;1964;1999;FA;Resource Industrialist;High;M10067;X
35056;Minister of Armament;José María Lammamié;1945;1964;1999;FA;laissez-faire capitalist;Medium;M10102;X
35057;Minister of Armament;Victor Pradera;1946;1964;1999;FA;Theoretical Scientist;High;M10066;X
35058;Minister of Armament;José Antonio Primo de Rivera;1933;1964;1999;FA;Planned economy proponent;High;M10036;X
35059;Minister of Armament;Raimundo Fernández Cuesta;1937;1964;1999;FA;laissez-faire capitalist;High;M10105;X
35060;Minister of Armament;Manuel Hedilla Larrey;1938;1964;1999;FA;Military Entrepreneur;High;M10050;X
35061;Minister of Armament;Onésimo Redondo Ortega;1939;1964;1999;FA;Tank Proponent;High;M10107;X
35062;Minister of Armament;Sancho Dávila;1941;1964;1999;FA;Reformer;Medium;M10109;X
35063;Minister of Armament;Agustín Aznar Guerner;1942;1964;1999;FA;Air to Ground Proponent;Medium;M10110;X
35064;Minister of Armament;José Calvo-Sotelo;1870;1964;1999;PA;laissez-faire capitalist;Very High;M11014;X
35065;Minister of Armament;José Enrique Varela Iglesias;1933;1964;1999;SC;Military Entrepreneur;High;M10014;X
35066;Minister of Armament;Juan March Ordinas;1933;1964;1999;SC;Administrative Genius;High;M10113;X
35067;Minister of Armament;Juan Ignacio Luca de Tena;1939;1964;1999;SC;laissez-faire capitalist;Medium;M10115;X
35068;Minister of Armament;Alfredo Kindelán y Duany;1937;1964;1999;PA;Strategic Air Proponent;High;M10010;X
35069;Minister of Armament;Juan Vigón Suerodíaz;1938;1964;1999;SC;Theoretical Scientist;High;M10118;X
35070;Minister of Armament;Francisco de Borbón de la Torre;1938;1964;1999;SC;Tank Proponent;Medium;M10077;X
35071;Minister of Armament;Diego Hidalgo y Durán;1933;1964;1999;ML;Military Entrepreneur;High;M11101;X
35072;Minister of Armament;Emilio Herrera;1941;1964;1999;ML;Air Superiority Proponent;High;M11145;X
35073;Minister of Armament;Joaquín Chapaprieta Torregrosa;1942;1964;1999;ML;Balanced budget economy;High;M11155;X
35074;Minister of Armament;José María Gil-Robles Quiñones;1943;1964;1999;ML;Resource Industrialist;High;M10012;X
35075;Minister of Armament;Luis Luciá Luciá;1944;1964;1999;ML;Theoretical Scientist;Low;M11113;X
35076;Minister of Security;Pedro Sáinz Rodríguez;1933;1964;1999;FA;Man of the People;High;M10127;X
35077;Minister of Security;Severiano Martínez Anido;1939;1964;1999;PA;Secret police chief;Medium;M10128;X
35078;Minister of Security;Dionisio Ridruejo;1938;1964;1999;PA;Back Stabber;Medium;M10129;X
35079;Minister of Security;Blas Pérez González;1942;1964;1999;PA;Silent Lawyer;High;M10130;X
35080;Minister of Security;José Millán Astray;1941;1964;1999;PA;Efficient Sociopath;Medium;M10131;X
35081;Minister of Security;Valentín Galarza Morante;1940;1964;1999;PA;Man of the People;High;M10132;X
35082;Minister of Security;Luis Valdés Cavanillas;1942;1964;1999;PA;Prince of Terror;High;M10134;X
35083;Minister of Security;Tomás Garciano Goñi;1933;1964;1999;PA;Compassionate Gentleman;Medium;M10135;X
35084;Minister of Security;Tomás Domínguez Arévalo;1937;1964;1999;FA;Prince of Terror;High;M10099;X
35085;Minister of Security;Manuel Fal Conde;1942;1964;1999;FA;Man of the People;High;M10049;X
35086;Minister of Security;José María Lammamié;1944;1964;1999;FA;Efficient Sociopath;Medium;M10102;X
35087;Minister of Security;Agustín Aznar Guerner;1933;1964;1999;FA;Back Stabber;Medium;M10110;X
35088;Minister of Security;Ramiro Ledesma Ramos;1938;1964;1999;FA;Silent Lawyer;High;M10069;X
35089;Minister of Security;Pilar Primo de Rivera;1942;1964;1999;FA;Prince of Terror;High;M10037;X
35090;Minister of Security;Raimundo Fernández Cuesta;1945;1964;1999;FA;Man of the People;High;M10074;X
35091;Minister of Security;José Luís Arrese Magra;1946;1964;1999;FA;Crime Fighter;High;M10072;X
35092;Minister of Security;Jacobo Fitz-James Stuart;1933;1964;1999;SC;Compassionate Gentleman;Medium;M10080;X
35093;Minister of Security;José Yanguas Messía;1939;1964;1999;SC;Efficient Sociopath;High;M11150;X
35094;Minister of Security;José Martínez de Velasco;1941;1964;1999;SC;Crime Fighter;Low;M11110;X
