SUD;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
775001;Head of State;Sir George Stewart Symes;1933;1964;1999;ML;Resigned Generalissimo;High;M555001;X
775002;Head of Government;Sir Herbert J. Huddleston;1933;1964;1999;ML;Political Protege;High;M555002;X
775003;Foreign Minister;Laurent A. Bonneway;1933;1964;1999;ML;Biased Intellectual;High;M555003;X
775004;Minister of Armament;Hubert Latham;1933;1964;1999;ML;Submarine Proponent;Medium;M555004;X
775005;Minister of Security;William McCraddock;1933;1964;1999;ML;Man of the People;Medium;M555005;X
775006;Head of Military Intelligence;George J. Hawkesworth;1933;1964;1999;ML;Dismal Enigma;Medium;M555006;X
775007;Chief of Staff;Charles L. Norman;1933;1964;1999;ML;School of Fire Support;Medium;M555007;X
775008;Chief of Army;Sir George Stewart Symes;1933;1964;1999;ML;Static Defence Doctrine;Medium;M555001;X
775009;Chief of Navy;H.T.S. Collins;1933;1964;1999;ML;Open Seas Doctrine;Medium;L410013;X
775010;Chief of Air Force;Clement Robertson;1933;1964;1999;ML;Army Aviation Doctrine;Medium;M555010;X
775011;Head of State;Lawrence McSturie;1933;1964;1999;PA;Benevolent Gentleman;High;M555011;X
775012;Head of State;Ismael Alazhari;1933;1964;1999;SD;Pig-headed Isolationist;High;M555012;X
775013;Head of Government;Alister Fitzhugh;1933;1964;1999;PA;Backroom Backstabber;High;M555013;X
775014;Head of Government;Abdella Bey Khaleel;1933;1964;1999;SD;Flamboyant Tough Guy;High;M555014;X
775015;Foreign Minister;Hugh de L'Isle Vincent;1933;1964;1999;PA;Great Compromiser;High;M555015;X
775016;Foreign Minister;Mohammed Ahmed Mahjoob;1933;1964;1999;SD;Iron Fisted Brute;High;M555016;X
775017;Minister of Armament;Archibald Farrington-Jones;1941;1964;1999;ML;laissez-faire capitalist;Medium;M555017;X
775018;Minister of Armament;Norman Warrington;1933;1964;1999;PA;Military Entrepreneur;Medium;M555018;X
775019;Minister of Armament;dr. Aljazooli Daffa'alla;1933;1964;1999;SD;Theoretical Scientist;Medium;M555019;X
775020;Minister of Armament;Slah Elzubir;1942;1964;1999;SD;Strategic Air Proponent;Medium;M555020;X
775021;Minister of Security;Walter Haworth;1940;1964;1999;ML;Compassionate Gentleman;Medium;M555021;X
775022;Minister of Security;Leonard Elsmore;1933;1964;1999;PA;Crime Fighter;Medium;M555022;X
775023;Minister of Security;Rasheed Altahir Bakr;1933;1964;1999;SD;Crooked Kleptocrat;Medium;M555023;X
