TUN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
535001;Head of State;Ahmad II al-Tunis;1933;1964;1999;SL;Ruthless Powermonger;High;M532001;X
535002;Head of Government;Hedi Lakhoue;1933;1964;1999;SL;Happy Amateur;High;M532002;X
535003;Foreign Minister;Armand Guillon;1933;1964;1999;SL;Great Compromiser;High;M532003;X
535004;Minister of Armament;Slaheddine Bekkouche;1933;1964;1999;SL;Tank Proponent;Medium;M532004;X
535005;Minister of Security;M'Hamed Chenik;1933;1964;1999;SL;Man of the People;Medium;M532005;X
535006;Head of Military Intelligence;Mustapha Kaak;1933;1964;1999;SL;Industrial Specialist;Medium;M532006;X
535007;Chief of Staff;Henri d'Astier de la Vigerie;1933;1964;1999;SL;School of Manoeuvre;Medium;M532007;X
535008;Chief of Army;Bohumil Vazac;1933;1964;1999;SL;Guns and Butter Doctrine;Medium;M532008;X
535009;Chief of Navy;Jules Evenou;1933;1964;1999;SL;Open Seas Doctrine;Medium;M532009;X
535010;Chief of Air Force;Emile Ginas;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M532010;X
535011;Head of State;Shaykh Tahar ben Ammar;1933;1964;1999;SD;Autocratic Charmer;High;M532011;X
535012;Head of State;Muhammad VII al-Munsif;1942;1964;1999;SL;Die-hard Reformer;High;M532012;X
535013;Head of State;Muhammad VIII al-Amin;1943;1964;1999;SL;Powerhungry Demagogue;High;M532013;X
535014;Head of State;M'Hamed Chenik;1933;1964;1999;SC;Popular Figurehead;High;M532005;X
535015;Head of Government;Habib Bourguiba;1933;1964;1999;SD;Ambitious Union Boss;High;M532015;X
535016;Head of Government;M'Hamed Chenik;1943;1964;1999;SL;Corporate Suit;High;M532005;X
535017;Head of Government;Slaheddine Bekkouche;1943;1964;1999;SL;Smiling Oilman;High;M532004;X
535018;Head of Government;Mustapha Kaak;1947;1964;1999;SL;Smiling Oilman;High;M532006;X
535019;Head of Government;Hamouda Shadrani;1933;1964;1999;SC;Political Protege;High;M532019;X
535020;Foreign Minister;Bahi Ladgham;1933;1964;1999;SD;Great Compromiser;High;M532020;X
535021;Foreign Minister;Erik Labonne;1938;1964;1999;SL;Apologetic Clerk;High;M531014;X
535022;Foreign Minister;Jean Pierre Esteva;1940;1964;1999;SL;General Staffer;High;L24159;X
535023;Foreign Minister;Charles Emmanuel Mast;1943;1964;1999;SL;The Cloak N Dagger Schemer;High;M532023;X
535024;Foreign Minister;Jean Mons;1947;1964;1999;SL;Biased Intellectual;High;M532024;X
535025;Foreign Minister;Shaykh Mohammed Jallouli;1933;1964;1999;SC;Biased Intellectual;High;M532025;X
535026;Minister of Armament;Taieb Mehiri;1933;1964;1999;SD;Battle Fleet Proponent;Medium;M532026;X
535027;Minister of Armament;Roger Alloues;1942;1964;1999;SL;Theoretical Scientist;Medium;M532027;X
535028;Minister of Armament;Mohammed Masmoudi;1944;1964;1999;SL;Military Entrepreneur;Medium;M532028;X
535029;Minister of Armament;Ali Belhaouane;1933;1964;1999;SC;Air Superiority Proponent;Medium;M532029;X
