YEM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
445001;Head of State;Yahya Muhammad Hamid ed-Din;1904;1948;1999;PA;Stern Imperialist;High;M93001;X
445002;Head of Government;Yahya Muhammad Hamid ed-Din;1904;1948;1999;PA;Smiling Oilman;High;M93001;X
445003;Foreign Minister;Yahya Muhammad Hamid ed-Din;1904;1948;1999;PA;General Staffer;Very High;M93001;X
445004;Minister of Armament;Ahmad al Hamid;1933;1964;1999;PA;Corrupt Kleptocrat;High;M93004;X
445005;Minister of Security;Yahya Muhammad Hamid ed-Din;1904;1948;1999;PA;Prince of Terror;Very High;M93001;X
445006;Head of Military Intelligence;Ahmad al Hamid;1933;1964;1999;PA;Dismal Enigma;High;M93004;X
445007;Chief of Staff;Yahya Muhammad Hamid ed-Din;1904;1948;1999;PA;School of Defence;Very High;M93001;X
445008;Chief of Army;Ahmad al Hamid;1933;1964;1999;PA;Armoured Spearhead Doctrine;High;M93004;X
445009;Chief of Navy;Mansur al Badr;1933;1964;1999;PA;Power Projection Doctrine;Low;M93009;X
445010;Chief of Air Force;Mansur al Badr;1933;1964;1999;PA;Army Aviation Doctrine;Low;M93009;X
445011;Foreign Minister;R.J. McNeill Cushendun;1939;1964;1999;SC;Great Compromiser;Medium;M93011;X
445012;Minister of Armament;Alexandre Loveday;1940;1964;1999;SC;Infantry Proponent;High;M93013;X
445013;Minister of Armament;Henry R. Dobbs;1941;1964;1999;SC;Resource Industrialist;High;M93014;X
445014;Minister of Armament;A.H.C. Rivers;1942;1964;1999;SC;Administrative Genius;High;M93015;X
445015;Minister of Security;Leonard A. Lyall;1938;1964;1999;SC;Silent Lawyer;High;M93017;X
445016;Minister of Security;Mansur al Badr;1945;1964;1999;PA;Crooked Kleptocrat;High;M93009;X
445017;Head of Military Intelligence;Cecil Barrington Hurst;1940;1964;1999;SC;Technical Specialist;High;M93019;X
445018;Chief of Staff;R. Montgomerie-Clives;1939;1964;1999;SC;School of Mass Combat;Very High;M93020;X
445019;Chief of Staff;Abd al Husseini;1945;1964;1999;PA;School of Fire Support;Very High;M93021;X
445020;Chief of Army;R. Montgomerie-Clives;1939;1964;1999;SC;Guns and Butter Doctrine;High;M93020;X
445021;Chief of Army;Ted Pointer;1942;1964;1999;SC;Decisive Battle Doctrine;High;M93023;X
445022;Chief of Army;Abd al Husseini;1945;1964;1999;PA;Elastic Defence Doctrine;High;M93021;X
445023;Chief of Navy;Ian Trelawny;1940;1964;1999;SC;Open Seas Doctrine;Low;M93025;X
445024;Chief of Air Force;Ted Pointer;1940;1964;1999;SC;Air Superiority Doctrine;Low;M93023;X
445025;Chief of Air Force;Ali Halukeh;1945;1964;1999;PA;Vertical Envelopment Doctrine;Low;M93027;X
445026;Head of Government;Mahmud Nedim Akdilek;1904;1935;1999;PA;Smiling Oilman;High;unknownminister;X
445027;Minister of Armament;Yahya Muhammad Hamid ed-Din;1904;1948;1999;PA;Corrupt Kleptocrat;High;M93001;X
445028;Head of Military Intelligence;Yahya Muhammad Hamid ed-Din;1904;1948;1999;PA;Dismal Enigma;High;M93001;X
445029;Chief of Army;Yahya Muhammad Hamid ed-Din;1904;1948;1999;PA;Armoured Spearhead Doctrine;High;M93001;X
445100;Head of State;H.M. Ahmad al-Hamid;1948;1964;1964;PA;Stern Imperialist;Medium;M93004;X
445101;Head of Government;H.M. Ahmad al-Hamid;1948;1964;1964;PA;Corporate Suit;Medium;M93004;X
445102;Head of State;H.M. Muhammad al-Badr;1962;1997;1997;PA;Autocratic Charmer;Medium;M445102;X
445103;Head of Government;H.M. Muhammad al-Badr;1962;1997;1997;PA;Political Protege;Medium;M445102;X
445104;Head of State;Abdullah al-Sallal;1963;1995;1995;SD;Powerhungry Demagogue;Medium;M445104;X
445105;Head of Government;Abdullah al-Sallal;1963;1995;1995;SD;Backroom Backstabber;Medium;M445104;X
445106;Head of State;Abdul Rahman al-Iryani;1967;1999;1999;SD;Powerhungry Demagogue;Medium;M445106;X
445107;Head of Government;Abdul Rahman al-Iryani;1967;1999;1999;SD;Naive Optimist;Medium;M445106;X
445108;Head of State;Ibrahim al-Hamdi;1974;1978;1978;SD;Ruthless Powermonger;Medium;M445108;X
445109;Head of Government;Ibrahim al-Hamdi;1974;1978;1978;SD;Ambitious Union Boss;Medium;M445108;X
445110;Head of State;Ahmad al-Ghashmi;1977;1979;2019;SD;Autocratic Charmer;Medium;M445110;X
445111;Head of Government;Ahmad al-Ghashmi;1977;1979;2019;SD;Old General;Medium;M445110;X
445112;Head of State;Ali Abdullah Saleh;1978;2020;2020;PA;Popular Figurehead;Medium;YEM1;X
445113;Head of Government;Ali Abdullah Saleh;1978;2020;2020;PA;Political Protege;Medium;YEM1;X
