UAU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality90018;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9001899;Hadramaut Artilleries;unknown;3;1930;1999;aeronautics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001898;Aden Industries;unknown;7;1930;1999;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001897;Yemeni Trucks;unknown;6;1930;1999;mechanics;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001896;Navigation Training Center;unknown;8;1930;1999;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001895;People's Air Production;unknown;7;1930;1999;bomber_tactics;centralized_execution;piloting;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001894;Army of South Yemen;unknown;6;1930;1999;training;centralized_execution;infantry_focus;individual_courage;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001893;Military Support Industries;unknown;4;1930;1999;chemistry;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001892;Aden Industry Center;unknown;8;1930;1999;mechanics;industrial_engineering;general_equipment;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001891;Lahij District;unknown;6;1930;1999;aeronautics;technical_efficiency;artillery;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001890;South Yemeni Airlines;unknown;4;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001889;Abyan Products;unknown;7;1930;1999;mechanics;general_equipment;training;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001888;Air Aden;unknown;8;1930;1999;bomber_tactics;combined_arms_focus;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001887;General Staff;unknown;3;1930;1999;large_unit_tactics;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001886;Central Yemeni Airways;unknown;5;1930;1999;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001885;Electric Supply Commission;unknown;7;1930;1999;small_unit_tactics;decentralized_execution;combined_arms_focus;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9001884;University of Aden;unknown;9;1930;1999;nuclear_physics;mathematics;mechanics;electronics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
